	Horaire	1
S/N		967755
Type		TGC-0011
Description		BETH
Propriété		Counts
1	19 mai 2023 02:09:07	0.0
2	19 mai 2023 02:12:07	0.0
3	19 mai 2023 02:15:07	0.0
4	19 mai 2023 02:18:07	0.0
5	19 mai 2023 02:21:07	0.0
6	19 mai 2023 02:24:07	0.0
7	19 mai 2023 02:27:07	0.0
8	19 mai 2023 02:30:07	0.0
9	19 mai 2023 02:33:07	0.0
10	19 mai 2023 02:36:07	0.0
11	19 mai 2023 02:39:07	0.0
12	19 mai 2023 02:42:07	0.0
13	19 mai 2023 02:45:07	0.0
14	19 mai 2023 02:48:07	0.0
15	19 mai 2023 02:51:07	0.0
16	19 mai 2023 02:54:07	0.0
17	19 mai 2023 02:57:07	0.0
18	19 mai 2023 03:00:07	0.0
19	19 mai 2023 03:03:07	0.0
20	19 mai 2023 03:06:07	0.0
21	19 mai 2023 03:09:07	0.0
22	19 mai 2023 03:12:07	0.0
23	19 mai 2023 03:15:07	0.0
24	19 mai 2023 03:18:07	0.0
25	19 mai 2023 03:21:07	0.0
26	19 mai 2023 03:24:07	0.0
27	19 mai 2023 03:27:07	0.0
28	19 mai 2023 03:30:07	0.0
29	19 mai 2023 03:33:07	0.0
30	19 mai 2023 03:36:07	0.0
31	19 mai 2023 03:39:07	0.0
32	19 mai 2023 03:42:07	0.0
33	19 mai 2023 03:45:07	0.0
34	19 mai 2023 03:48:07	0.0
35	19 mai 2023 03:51:07	0.0
36	19 mai 2023 03:54:07	0.0
37	19 mai 2023 03:57:07	0.0
38	19 mai 2023 04:00:07	0.0
39	19 mai 2023 04:03:07	0.0
40	19 mai 2023 04:06:07	0.0
41	19 mai 2023 04:09:07	0.0
42	19 mai 2023 04:12:07	0.0
43	19 mai 2023 04:15:07	0.0
44	19 mai 2023 04:18:07	0.0
45	19 mai 2023 04:21:07	0.0
46	19 mai 2023 04:24:07	0.0
47	19 mai 2023 04:27:07	0.0
48	19 mai 2023 04:30:07	0.0
49	19 mai 2023 04:33:07	0.0
50	19 mai 2023 04:36:07	0.0
51	19 mai 2023 04:39:07	0.0
52	19 mai 2023 04:42:07	0.0
53	19 mai 2023 04:45:07	0.0
54	19 mai 2023 04:48:07	0.0
55	19 mai 2023 04:51:07	0.0
56	19 mai 2023 04:54:07	0.0
57	19 mai 2023 04:57:07	0.0
58	19 mai 2023 05:00:07	0.0
59	19 mai 2023 05:03:07	0.0
60	19 mai 2023 05:06:07	0.0
61	19 mai 2023 05:09:07	0.0
62	19 mai 2023 05:12:07	0.0
63	19 mai 2023 05:15:07	0.0
64	19 mai 2023 05:18:07	0.0
65	19 mai 2023 05:21:07	0.0
66	19 mai 2023 05:24:07	0.0
67	19 mai 2023 05:27:07	0.0
68	19 mai 2023 05:30:07	0.0
69	19 mai 2023 05:33:07	0.0
70	19 mai 2023 05:36:07	0.0
71	19 mai 2023 05:39:07	0.0
72	19 mai 2023 05:42:07	0.0
73	19 mai 2023 05:45:07	0.0
74	19 mai 2023 05:48:07	0.0
75	19 mai 2023 05:51:07	0.0
76	19 mai 2023 05:54:07	0.0
77	19 mai 2023 05:57:07	0.0
78	19 mai 2023 06:00:07	0.0
79	19 mai 2023 06:03:07	0.0
80	19 mai 2023 06:06:07	0.0
81	19 mai 2023 06:09:07	0.0
82	19 mai 2023 06:12:07	0.0
83	19 mai 2023 06:15:07	0.0
84	19 mai 2023 06:18:07	0.0
85	19 mai 2023 06:21:07	0.0
86	19 mai 2023 06:24:07	0.0
87	19 mai 2023 06:27:07	0.0
88	19 mai 2023 06:30:07	0.0
89	19 mai 2023 06:33:07	0.0
90	19 mai 2023 06:36:07	0.0
91	19 mai 2023 06:39:07	0.0
92	19 mai 2023 06:42:07	0.0
93	19 mai 2023 06:45:07	0.0
94	19 mai 2023 06:48:07	0.0
95	19 mai 2023 06:51:07	0.0
96	19 mai 2023 06:54:07	0.0
97	19 mai 2023 06:57:07	0.0
98	19 mai 2023 07:00:07	0.0
99	19 mai 2023 07:03:07	0.0
100	19 mai 2023 07:06:07	0.0
101	19 mai 2023 07:09:07	0.0
102	19 mai 2023 07:12:07	0.0
103	19 mai 2023 07:15:07	0.0
104	19 mai 2023 07:18:07	0.0
105	19 mai 2023 07:21:07	0.0
106	19 mai 2023 07:24:07	0.0
107	19 mai 2023 07:27:07	0.0
108	19 mai 2023 07:30:07	0.0
109	19 mai 2023 07:33:07	0.0
110	19 mai 2023 07:36:07	0.0
111	19 mai 2023 07:39:07	0.0
112	19 mai 2023 07:42:07	0.0
113	19 mai 2023 07:45:07	0.0
114	19 mai 2023 07:48:07	0.0
115	19 mai 2023 07:51:07	0.0
116	19 mai 2023 07:54:07	0.0
117	19 mai 2023 07:57:07	0.0
118	19 mai 2023 08:00:07	0.0
119	19 mai 2023 08:03:07	0.0
120	19 mai 2023 08:06:07	0.0
121	19 mai 2023 08:09:07	0.0
122	19 mai 2023 08:12:07	0.0
123	19 mai 2023 08:15:07	0.0
124	19 mai 2023 08:18:07	0.0
125	19 mai 2023 08:21:07	0.0
126	19 mai 2023 08:24:07	0.0
127	19 mai 2023 08:27:07	0.0
128	19 mai 2023 08:30:07	0.0
129	19 mai 2023 08:33:07	0.0
130	19 mai 2023 08:36:07	0.0
131	19 mai 2023 08:39:07	0.0
132	19 mai 2023 08:42:07	0.0
133	19 mai 2023 08:45:07	0.0
134	19 mai 2023 08:48:07	0.0
135	19 mai 2023 08:51:07	0.0
136	19 mai 2023 08:54:07	0.0
137	19 mai 2023 08:57:07	0.0
138	19 mai 2023 09:00:07	0.0
139	19 mai 2023 09:03:07	0.0
140	19 mai 2023 09:06:07	0.0
141	19 mai 2023 09:09:07	0.0
142	19 mai 2023 09:12:07	0.0
143	19 mai 2023 09:15:07	0.0
144	19 mai 2023 09:18:07	0.0
145	19 mai 2023 09:21:07	0.0
146	19 mai 2023 09:24:07	0.0
147	19 mai 2023 09:27:07	0.0
148	19 mai 2023 09:30:07	0.0
149	19 mai 2023 09:33:07	0.0
150	19 mai 2023 09:36:07	0.0
151	19 mai 2023 09:39:07	0.0
152	19 mai 2023 09:42:07	0.0
153	19 mai 2023 09:45:07	0.0
154	19 mai 2023 09:48:07	0.0
155	19 mai 2023 09:51:07	0.0
156	19 mai 2023 09:54:07	0.0
157	19 mai 2023 09:57:07	0.0
158	19 mai 2023 10:00:07	0.0
159	19 mai 2023 10:03:07	0.0
160	19 mai 2023 10:06:07	0.0
161	19 mai 2023 10:09:07	0.0
