created_at,entry_id,field1,field2,field3,field5,latitude,longitude,elevation,status
2025-07-30T09:18:49+00:00,1,,,,,,,,
2025-07-30T09:23:17+00:00,2,100,37.5,30,0,,,,
2025-07-30T09:26:17+00:00,3,100,37,30.2,0,,,,
2025-07-30T09:29:17+00:00,4,100,35.5,30.5,0,,,,
2025-07-30T09:32:17+00:00,5,100,36,30,0,,,,
2025-07-30T09:35:17+00:00,6,100,38,29.3,0,,,,
2025-07-30T09:38:17+00:00,7,100,38.5,28.8,0,,,,
2025-07-30T09:41:17+00:00,8,100,39,28.7,0,,,,
2025-07-30T09:47:17+00:00,9,100,37,29.4,0,,,,
2025-07-30T09:50:17+00:00,10,100,35,30.5,0,,,,
2025-07-30T09:53:17+00:00,11,100,34,31.6,0,,,,
2025-07-30T10:08:17+00:00,12,100,28,34.9,0,,,,
2025-07-30T10:11:17+00:00,13,100,27,35,0,,,,
2025-07-30T10:14:17+00:00,14,100,27.5,35,0,,,,
2025-07-30T10:17:17+00:00,15,100,27,35.4,0,,,,
2025-07-30T10:23:17+00:00,16,100,25.5,35.5,0,,,,
2025-08-05T11:58:09+00:00,17,,,,,,,,
2025-08-05T11:58:31+00:00,18,100,34.5,33.4,0,,,,
2025-08-05T11:59:06+00:00,19,100,35.5,32.9,0,,,,
2025-08-05T12:02:06+00:00,20,100,37,31.8,0,,,,
2025-08-05T12:05:06+00:00,21,100,38,31.4,0,,,,
2025-08-05T12:08:06+00:00,22,100,38.5,31.4,0,,,,
2025-08-05T12:11:06+00:00,23,100,38.5,31.4,0,,,,
2025-08-05T12:14:06+00:00,24,100,38,31.5,0,,,,
2025-08-05T12:17:06+00:00,25,100,37.5,31.9,0,,,,
2025-08-05T12:20:06+00:00,26,100,38,31.7,0,,,,
2025-08-05T12:23:06+00:00,27,100,38.5,31.3,0,,,,
2025-08-05T12:26:06+00:00,28,100,38,31.4,0,,,,
2025-08-05T12:29:06+00:00,29,100,37,31.4,0,,,,
2025-08-05T12:32:06+00:00,30,100,39,31.5,0,,,,
2025-08-05T12:35:05+00:00,31,100,39.5,31.6,0,,,,
2025-08-05T12:38:05+00:00,32,100,37,31.7,0,,,,
2025-08-05T12:41:05+00:00,33,100,36,32.1,0,,,,
2025-08-05T12:44:05+00:00,34,100,35,32.4,0,,,,
2025-08-05T12:47:05+00:00,35,100,34.5,32.8,0,,,,
2025-08-05T12:50:05+00:00,36,100,33.5,33,0,,,,
2025-08-05T12:53:05+00:00,37,100,34.5,33.2,0,,,,
2025-08-05T12:56:05+00:00,38,100,32,33.5,0,,,,
2025-08-05T12:59:05+00:00,39,100,32.5,33.6,0,,,,
2025-08-05T13:02:05+00:00,40,100,32.5,33.5,0,,,,
2025-08-05T13:05:05+00:00,41,100,32,33.7,0,,,,
2025-08-05T13:08:05+00:00,42,100,32.5,33.7,0,,,,
2025-08-05T13:11:05+00:00,43,100,31,33.5,0,,,,
2025-08-05T13:14:05+00:00,44,100,32,33.2,0,,,,
2025-08-05T13:17:05+00:00,45,100,31,33.3,0,,,,
2025-08-05T13:20:05+00:00,46,100,30,33.5,0,,,,
2025-08-05T13:23:05+00:00,47,100,31,33.8,0,,,,
2025-08-05T13:26:05+00:00,48,100,30.5,33.9,0,,,,
2025-08-05T13:29:05+00:00,49,100,31.5,33.2,0,,,,
2025-08-05T13:32:05+00:00,50,100,31.5,32.7,0,,,,
2025-08-05T13:35:05+00:00,51,100,32,32.5,0,,,,
2025-08-05T13:38:05+00:00,52,100,32.5,32.6,0,,,,
2025-08-05T13:41:05+00:00,53,100,32.5,32.8,0,,,,
2025-08-05T13:44:05+00:00,54,100,32,32.8,0,,,,
2025-08-05T13:47:05+00:00,55,100,32,33,0,,,,
2025-08-05T13:50:05+00:00,56,100,32,33.3,0,,,,
2025-08-05T13:53:05+00:00,57,100,32,32.7,0,,,,
2025-08-05T13:56:05+00:00,58,100,33.5,32.4,0,,,,
2025-08-05T13:59:05+00:00,59,100,34,32.3,0,,,,
2025-08-05T14:02:05+00:00,60,100,34.5,32.3,0,,,,
2025-08-05T14:05:05+00:00,61,100,33.5,32.6,0,,,,
2025-08-05T14:08:05+00:00,62,100,34,32.4,0,,,,
2025-08-05T14:11:05+00:00,63,100,34.5,32.6,0,,,,
2025-08-05T14:14:05+00:00,64,100,33.5,32.9,0,,,,
2025-08-05T14:17:05+00:00,65,100,33.5,33.1,0,,,,
2025-08-05T14:20:05+00:00,66,100,32,32.8,0,,,,
2025-08-05T14:23:05+00:00,67,100,33,32.7,0,,,,
2025-08-05T14:26:05+00:00,68,100,34,32.6,0,,,,
2025-08-05T14:29:05+00:00,69,100,33.5,32.6,0,,,,
2025-08-05T14:32:05+00:00,70,100,34,32.5,0,,,,
2025-08-05T14:35:05+00:00,71,100,35.5,32.8,0,,,,
2025-08-05T14:38:05+00:00,72,100,35.5,33.5,0,,,,
2025-08-05T14:41:05+00:00,73,100,36.5,33.4,0,,,,
2025-08-05T14:44:05+00:00,74,100,38,33.4,0,,,,
2025-08-05T14:47:05+00:00,75,100,36.5,33.3,0,,,,
2025-08-05T14:50:05+00:00,76,100,35.5,32.9,0,,,,
2025-08-05T14:53:05+00:00,77,100,41,32.7,0,,,,
2025-08-05T14:56:05+00:00,78,100,42.5,33,0,,,,
2025-08-05T14:59:05+00:00,79,100,41,33.3,0,,,,
2025-08-05T15:02:05+00:00,80,100,38,33.2,0,,,,
2025-08-05T15:05:05+00:00,81,100,39.5,33.5,0,,,,
2025-08-05T15:08:05+00:00,82,100,42.5,32.9,0,,,,
2025-08-05T15:11:05+00:00,83,100,45,31.8,0,,,,
2025-08-05T15:14:05+00:00,84,100,45.5,30.9,0,,,,
2025-08-05T15:17:05+00:00,85,100,46.5,30.3,0,,,,
2025-08-05T15:20:05+00:00,86,100,44,29.9,0,,,,
2025-08-05T15:23:05+00:00,87,100,46,29.7,0,,,,
2025-08-05T15:26:05+00:00,88,100,45.5,29.7,0,,,,
2025-08-05T15:29:05+00:00,89,100,45.5,30.2,0,,,,
2025-08-05T15:32:05+00:00,90,100,44,30.5,0,,,,
2025-08-05T15:35:05+00:00,91,100,40.5,30.1,0,,,,
2025-08-05T15:38:05+00:00,92,100,40,29.6,0,,,,
2025-08-05T15:41:05+00:00,93,100,39,29.1,0,,,,
2025-08-05T15:44:05+00:00,94,100,40.5,28.9,0,,,,
2025-08-05T15:47:05+00:00,95,100,41,28.7,0,,,,
2025-08-05T15:50:05+00:00,96,100,41,28.6,0,,,,
2025-08-05T15:53:05+00:00,97,100,41,28.6,0,,,,
2025-08-05T15:56:05+00:00,98,100,41,28.5,0,,,,
2025-08-05T15:59:05+00:00,99,100,42,28.6,0,,,,
2025-08-05T16:02:05+00:00,100,100,41.5,28.7,0,,,,
2025-08-05T16:05:05+00:00,101,100,41.5,28.9,0,,,,
2025-08-05T16:08:05+00:00,102,100,41.5,28.9,0,,,,
2025-08-05T16:11:05+00:00,103,100,41,29,0,,,,
2025-08-05T16:14:05+00:00,104,100,41,29.1,0,,,,
2025-08-05T16:17:05+00:00,105,100,41.5,28.8,0,,,,
2025-08-05T16:20:05+00:00,106,100,41.5,28.8,0,,,,
2025-08-05T16:23:05+00:00,107,100,41.5,28.7,0,,,,
2025-08-05T16:26:05+00:00,108,100,42,28.8,0,,,,
2025-08-05T16:29:05+00:00,109,100,43.5,28.3,0,,,,
2025-08-05T16:32:05+00:00,110,100,44,28,0,,,,
2025-08-05T16:35:05+00:00,111,100,44.5,27.8,0,,,,
2025-08-05T16:38:05+00:00,112,100,45,27.6,0,,,,
2025-08-05T16:41:05+00:00,113,100,45.5,27.4,0,,,,
2025-08-05T16:44:05+00:00,114,100,46,27.1,0,,,,
2025-08-05T16:47:05+00:00,115,100,46.5,26.9,0,,,,
2025-08-05T16:50:05+00:00,116,100,47,26.9,0,,,,
2025-08-05T16:53:05+00:00,117,100,47,26.7,0,,,,
2025-08-05T16:56:05+00:00,118,100,47,26.8,0,,,,
2025-08-05T16:59:05+00:00,119,100,47.5,26.6,0,,,,
2025-08-05T17:02:05+00:00,120,100,47.5,26.6,0,,,,
2025-08-05T17:05:05+00:00,121,100,47.5,26.5,0,,,,
2025-08-05T17:08:05+00:00,122,100,48.5,26.3,0,,,,
2025-08-05T17:11:05+00:00,123,100,48.5,26.4,0,,,,
2025-08-05T17:14:05+00:00,124,100,48.5,26.3,0,,,,
2025-08-05T17:17:05+00:00,125,100,48.5,26.2,0,,,,
2025-08-05T17:20:05+00:00,126,100,48.5,26.2,0,,,,
2025-08-05T17:23:05+00:00,127,100,47.5,26.2,0,,,,
2025-08-05T17:26:05+00:00,128,100,47,26,0,,,,
2025-08-05T17:29:05+00:00,129,100,47.5,26,0,,,,
2025-08-05T17:32:05+00:00,130,100,48,25.9,0,,,,
2025-08-05T17:35:05+00:00,131,100,48.5,25.8,0,,,,
2025-08-05T17:38:05+00:00,132,100,49,25.5,0,,,,
2025-08-05T17:41:05+00:00,133,100,49.5,25.5,0,,,,
2025-08-05T17:44:05+00:00,134,100,50,25.4,0,,,,
2025-08-05T17:47:05+00:00,135,100,51,25.2,0,,,,
2025-08-05T17:50:05+00:00,136,100,51.5,25.2,0,,,,
2025-08-05T17:53:05+00:00,137,100,52,25,0,,,,
2025-08-05T17:56:05+00:00,138,100,52,24.8,0,,,,
2025-08-05T17:59:05+00:00,139,100,52.5,24.7,0,,,,
2025-08-05T18:02:05+00:00,140,100,52.5,24.5,0,,,,
2025-08-05T18:05:05+00:00,141,100,52.5,24.5,0,,,,
2025-08-05T18:08:05+00:00,142,100,52,24.5,0,,,,
2025-08-05T18:11:05+00:00,143,100,52.5,24.4,0,,,,
2025-08-05T18:14:05+00:00,144,100,52.5,24.4,0,,,,
2025-08-05T18:17:05+00:00,145,100,52.5,24.4,0,,,,
2025-08-05T18:20:05+00:00,146,100,52.5,24.3,0,,,,
2025-08-05T18:23:05+00:00,147,100,53,24.1,0,,,,
