	Horaire	1
S/N		765018
Type		TGC-0011
Description		GRVN
Propriété		Counts
1	9 juin 2023 07:03:55	0.0
2	9 juin 2023 07:06:55	0.0
3	9 juin 2023 07:09:55	0.0
4	9 juin 2023 07:12:55	0.0
5	9 juin 2023 07:15:55	0.0
6	9 juin 2023 07:18:55	0.0
7	9 juin 2023 07:21:55	0.0
8	9 juin 2023 07:24:55	0.0
9	9 juin 2023 07:27:55	0.0
10	9 juin 2023 07:30:55	0.0
11	9 juin 2023 07:33:55	0.0
12	9 juin 2023 07:36:55	0.0
13	9 juin 2023 07:39:55	0.0
14	9 juin 2023 07:42:55	0.0
15	9 juin 2023 07:45:55	0.0
16	9 juin 2023 07:48:55	0.0
17	9 juin 2023 07:51:55	0.0
18	9 juin 2023 07:54:55	0.0
19	9 juin 2023 07:57:55	0.0
20	9 juin 2023 08:00:55	0.0
21	9 juin 2023 08:03:55	0.0
22	9 juin 2023 08:06:55	0.0
23	9 juin 2023 08:09:55	0.0
24	9 juin 2023 08:12:55	0.0
25	9 juin 2023 08:15:55	0.0
26	9 juin 2023 08:18:55	0.0
27	9 juin 2023 08:21:55	0.0
28	9 juin 2023 08:24:55	0.0
29	9 juin 2023 08:27:55	0.0
30	9 juin 2023 08:30:55	0.0
31	9 juin 2023 08:33:55	0.0
32	9 juin 2023 08:36:55	0.0
33	9 juin 2023 08:39:55	0.0
34	9 juin 2023 08:42:55	0.0
35	9 juin 2023 08:45:55	0.0
36	9 juin 2023 08:48:55	0.0
37	9 juin 2023 08:51:55	0.0
38	9 juin 2023 08:54:55	0.0
39	9 juin 2023 08:57:55	0.0
40	9 juin 2023 09:00:55	0.0
41	9 juin 2023 09:03:55	0.0
42	9 juin 2023 09:06:55	0.0
43	9 juin 2023 09:09:55	0.0
44	9 juin 2023 09:12:55	0.0
45	9 juin 2023 09:15:55	0.0
46	9 juin 2023 09:18:55	0.0
47	9 juin 2023 09:21:55	0.0
48	9 juin 2023 09:24:55	0.0
49	9 juin 2023 09:27:55	0.0
50	9 juin 2023 09:30:55	0.0
51	9 juin 2023 09:33:55	0.0
52	9 juin 2023 09:36:55	0.0
53	9 juin 2023 09:39:55	0.0
