created_at,entry_id,field1,field2,field3,field5,latitude,longitude,elevation,status
2025-07-30T09:35:09+00:00,1,100,35.5,30.4,7,,,,
2025-07-30T09:38:09+00:00,2,100,38,28.9,7,,,,
2025-07-30T09:41:09+00:00,3,100,39.5,28.4,7,,,,
2025-07-30T09:44:09+00:00,4,100,38.5,28.1,7,,,,
2025-07-30T09:47:09+00:00,5,100,38.5,28.6,7,,,,
2025-07-30T09:50:09+00:00,6,100,36.5,29,7,,,,
2025-07-30T09:53:09+00:00,7,100,36.5,29.4,7,,,,
2025-07-30T09:56:09+00:00,8,100,36.5,29.9,7,,,,
2025-07-30T09:59:09+00:00,9,100,33,30.9,7,,,,
2025-07-30T10:02:09+00:00,10,100,32,31.4,7,,,,
2025-07-30T10:05:09+00:00,11,100,32,31.1,7,,,,
2025-07-30T10:08:09+00:00,12,100,33,31.2,7,,,,
2025-07-30T10:14:09+00:00,13,100,32,31.4,7,,,,
2025-07-30T10:20:09+00:00,14,100,30.5,32,7,,,,
2025-07-30T10:23:09+00:00,15,100,29,32.5,7,,,,
2025-07-30T10:26:09+00:00,16,100,29,32.8,10,,,,
2025-08-14T11:40:57+00:00,17,,,,,,,,
2025-08-14T11:41:21+00:00,18,100,49.5,28.3,0,,,,
2025-08-14T11:41:41+00:00,19,100,46,29,0,,,,
2025-08-14T11:44:41+00:00,20,100,43,30.6,0,,,,
2025-08-14T11:47:40+00:00,21,100,40.5,31.5,0,,,,
2025-08-14T11:50:40+00:00,22,100,38.5,32.2,0,,,,
2025-08-14T11:53:40+00:00,23,100,37,33,0,,,,
2025-08-14T11:56:40+00:00,24,100,36.5,33.5,0,,,,
2025-08-14T11:59:40+00:00,25,100,36,34,0,,,,
2025-08-14T12:02:40+00:00,26,100,35.5,34.3,0,,,,
2025-08-14T12:05:40+00:00,27,100,35,34.3,0,,,,
2025-08-14T12:08:40+00:00,28,100,33.5,34.8,0,,,,
2025-08-14T12:11:40+00:00,29,100,34,35,0,,,,
2025-08-14T12:14:40+00:00,30,100,32.5,35.2,0,,,,
2025-08-14T12:17:40+00:00,31,100,33,35.5,0,,,,
2025-08-14T12:20:40+00:00,32,100,33,35.7,0,,,,
2025-08-14T12:23:40+00:00,33,100,31.5,35.6,0,,,,
2025-08-14T12:26:40+00:00,34,100,31.5,35.7,0,,,,
2025-08-14T12:29:40+00:00,35,100,33,35.8,0,,,,
2025-08-14T12:32:40+00:00,36,100,33.5,35.7,0,,,,
2025-08-14T12:35:40+00:00,37,100,32.5,35.8,0,,,,
2025-08-14T12:38:40+00:00,38,100,31.5,36.1,0,,,,
2025-08-14T12:41:40+00:00,39,100,30,36.1,0,,,,
2025-08-14T12:44:40+00:00,40,100,32,36.1,0,,,,
2025-08-14T12:47:40+00:00,41,100,31.5,36.1,0,,,,
2025-08-14T12:50:40+00:00,42,100,32.5,35.9,0,,,,
2025-08-14T12:53:40+00:00,43,100,31.5,36.3,0,,,,
2025-08-14T12:56:40+00:00,44,100,31,36.4,0,,,,
2025-08-14T12:59:40+00:00,45,100,31.5,36.5,0,,,,
2025-08-14T13:02:40+00:00,46,100,30,36.6,0,,,,
2025-08-14T13:05:40+00:00,47,100,30,36.8,0,,,,
2025-08-14T13:08:40+00:00,48,100,30.5,36.7,0,,,,
2025-08-14T13:11:40+00:00,49,100,30,36.6,0,,,,
2025-08-14T13:14:40+00:00,50,100,30,36.5,0,,,,
2025-08-14T13:17:40+00:00,51,100,30.5,36.6,0,,,,
2025-08-14T13:20:40+00:00,52,100,30,36.6,0,,,,
2025-08-14T13:23:40+00:00,53,100,31.5,36.6,0,,,,
2025-08-14T13:26:40+00:00,54,100,29,37,0,,,,
2025-08-14T13:29:40+00:00,55,100,30,37.1,0,,,,
2025-08-14T13:32:40+00:00,56,100,28,36.8,0,,,,
2025-08-14T13:35:40+00:00,57,100,28.5,36.7,0,,,,
2025-08-14T13:38:40+00:00,58,100,28,36.7,0,,,,
2025-08-14T13:41:40+00:00,59,100,30,36.6,0,,,,
2025-08-14T13:44:40+00:00,60,100,30,36.6,0,,,,
2025-08-14T13:47:40+00:00,61,100,30,36.8,0,,,,
2025-08-14T13:50:40+00:00,62,100,31,36.8,0,,,,
2025-08-14T13:53:40+00:00,63,100,31,36.4,0,,,,
2025-08-14T13:56:40+00:00,64,100,32,36.5,0,,,,
2025-08-14T13:59:40+00:00,65,100,29,36.8,0,,,,
2025-08-14T14:02:40+00:00,66,100,29.5,37.1,0,,,,
2025-08-14T14:05:40+00:00,67,100,29.5,36.9,0,,,,
2025-08-14T14:08:40+00:00,68,100,27.5,37,0,,,,
2025-08-14T14:11:40+00:00,69,100,26,37,0,,,,
2025-08-14T14:14:40+00:00,70,100,27.5,37.2,0,,,,
2025-08-14T14:17:40+00:00,71,100,26,37.4,0,,,,
2025-08-14T14:20:40+00:00,72,100,27,36.9,0,,,,
2025-08-14T14:23:40+00:00,73,100,26.5,36.7,0,,,,
2025-08-14T14:26:40+00:00,74,100,27.5,36.3,0,,,,
2025-08-14T14:29:40+00:00,75,100,27.5,36.4,0,,,,
2025-08-14T14:32:40+00:00,76,100,27,35.9,0,,,,
2025-08-14T14:35:40+00:00,77,100,28,35.7,0,,,,
