	Horaire	1
S/N		967756
Type		TGC-0011
Description		ELYS
Propriété		Counts
1	19 juil. 2023 14:03:02	0.0
2	19 juil. 2023 14:06:02	0.0
3	19 juil. 2023 14:09:02	0.0
4	19 juil. 2023 14:12:02	0.0
5	19 juil. 2023 14:15:02	0.0
6	19 juil. 2023 14:18:02	0.0
7	19 juil. 2023 14:21:02	0.0
8	19 juil. 2023 14:24:02	0.0
9	19 juil. 2023 14:27:02	0.0
10	19 juil. 2023 14:30:02	0.0
11	19 juil. 2023 14:33:02	0.0
12	19 juil. 2023 14:36:02	0.0
13	19 juil. 2023 14:39:02	0.0
14	19 juil. 2023 14:42:02	0.0
15	19 juil. 2023 14:45:02	0.0
16	19 juil. 2023 14:48:02	0.0
17	19 juil. 2023 14:51:02	0.0
18	19 juil. 2023 14:54:02	0.0
19	19 juil. 2023 14:57:02	0.0
20	19 juil. 2023 15:00:02	0.0
21	19 juil. 2023 15:03:02	0.0
22	19 juil. 2023 15:06:02	0.0
23	19 juil. 2023 15:09:02	0.0
24	19 juil. 2023 15:12:02	0.0
25	19 juil. 2023 15:15:02	0.0
26	19 juil. 2023 15:18:02	0.0
27	19 juil. 2023 15:21:02	0.0
28	19 juil. 2023 15:24:02	0.0
29	19 juil. 2023 15:27:02	0.0
30	19 juil. 2023 15:30:02	0.0
31	19 juil. 2023 15:33:02	0.0
32	19 juil. 2023 15:36:02	0.0
33	19 juil. 2023 15:39:02	0.0
34	19 juil. 2023 15:42:02	0.0
35	19 juil. 2023 15:45:02	0.0
36	19 juil. 2023 15:48:02	0.0
37	19 juil. 2023 15:51:02	0.0
38	19 juil. 2023 15:54:02	0.0
39	19 juil. 2023 15:57:02	0.0
40	19 juil. 2023 16:00:02	0.0
41	19 juil. 2023 16:03:02	0.0
42	19 juil. 2023 16:06:02	0.0
43	19 juil. 2023 16:09:02	0.0
44	19 juil. 2023 16:12:02	0.0
45	19 juil. 2023 16:15:02	0.0
46	19 juil. 2023 16:18:02	0.0
47	19 juil. 2023 16:21:02	0.0
48	19 juil. 2023 16:24:02	0.0
49	19 juil. 2023 16:27:02	0.0
50	19 juil. 2023 16:30:02	0.0
51	19 juil. 2023 16:33:02	0.0
52	19 juil. 2023 16:36:02	0.0
53	19 juil. 2023 16:39:02	0.0
54	19 juil. 2023 16:42:02	0.0
55	19 juil. 2023 16:45:02	0.0
56	19 juil. 2023 16:48:02	0.0
57	19 juil. 2023 16:51:02	0.0
58	19 juil. 2023 16:54:02	0.0
59	19 juil. 2023 16:57:02	0.0
60	19 juil. 2023 17:00:02	0.0
61	19 juil. 2023 17:03:02	0.0
62	19 juil. 2023 17:06:02	0.0
63	19 juil. 2023 17:09:02	0.0
64	19 juil. 2023 17:12:02	0.0
65	19 juil. 2023 17:15:02	0.0
66	19 juil. 2023 17:18:02	0.0
67	19 juil. 2023 17:21:02	0.0
68	19 juil. 2023 17:24:02	0.0
69	19 juil. 2023 17:27:02	0.0
70	19 juil. 2023 17:30:02	0.0
71	19 juil. 2023 17:33:02	0.0
72	19 juil. 2023 17:36:02	0.0
73	19 juil. 2023 17:39:02	0.0
74	19 juil. 2023 17:42:02	0.0
75	19 juil. 2023 17:45:02	0.0
76	19 juil. 2023 17:48:02	0.0
77	19 juil. 2023 17:51:02	0.0
78	19 juil. 2023 17:54:02	0.0
79	19 juil. 2023 17:57:02	6.0
80	19 juil. 2023 18:00:02	0.0
81	19 juil. 2023 18:03:02	0.0
82	19 juil. 2023 18:06:02	0.0
83	19 juil. 2023 18:09:02	4.0
84	19 juil. 2023 18:12:02	48.0
85	19 juil. 2023 18:15:02	15.0
86	19 juil. 2023 18:18:02	16.0
87	19 juil. 2023 18:21:02	7.0
88	19 juil. 2023 18:24:02	0.0
89	19 juil. 2023 18:27:02	0.0
90	19 juil. 2023 18:30:02	0.0
91	19 juil. 2023 18:33:02	0.0
92	19 juil. 2023 18:36:02	4.0
93	19 juil. 2023 18:39:02	8.0
94	19 juil. 2023 18:42:02	10.0
95	19 juil. 2023 18:45:02	11.0
96	19 juil. 2023 18:48:02	0.0
97	19 juil. 2023 18:51:02	0.0
98	19 juil. 2023 18:54:02	5.0
99	19 juil. 2023 18:57:02	0.0
100	19 juil. 2023 19:00:02	0.0
101	19 juil. 2023 19:03:02	0.0
102	19 juil. 2023 19:06:02	0.0
103	19 juil. 2023 19:09:02	0.0
104	19 juil. 2023 19:12:02	0.0
105	19 juil. 2023 19:15:02	0.0
106	19 juil. 2023 19:18:02	0.0
107	19 juil. 2023 19:21:02	0.0
108	19 juil. 2023 19:24:02	0.0
109	19 juil. 2023 19:27:02	0.0
110	19 juil. 2023 19:30:02	0.0
111	19 juil. 2023 19:33:02	0.0
112	19 juil. 2023 19:36:02	0.0
113	19 juil. 2023 19:39:02	0.0
114	19 juil. 2023 19:42:02	0.0
115	19 juil. 2023 19:45:02	0.0
116	19 juil. 2023 19:48:02	0.0
117	19 juil. 2023 19:51:02	0.0
118	19 juil. 2023 19:54:02	0.0
119	19 juil. 2023 19:57:02	0.0
120	19 juil. 2023 20:00:02	0.0
121	19 juil. 2023 20:03:02	0.0
122	19 juil. 2023 20:06:02	0.0
123	19 juil. 2023 20:09:02	0.0
124	19 juil. 2023 20:12:02	0.0
125	19 juil. 2023 20:15:02	0.0
126	19 juil. 2023 20:18:02	0.0
127	19 juil. 2023 20:21:02	0.0
128	19 juil. 2023 20:24:02	0.0
129	19 juil. 2023 20:27:02	0.0
130	19 juil. 2023 20:30:02	0.0
131	19 juil. 2023 20:33:02	0.0
132	19 juil. 2023 20:36:02	0.0
133	19 juil. 2023 20:39:02	0.0
134	19 juil. 2023 20:42:02	0.0
135	19 juil. 2023 20:45:02	0.0
136	19 juil. 2023 20:48:02	0.0
137	19 juil. 2023 20:51:02	0.0
138	19 juil. 2023 20:54:02	0.0
139	19 juil. 2023 20:57:02	0.0
140	19 juil. 2023 21:00:02	0.0
141	19 juil. 2023 21:03:02	0.0
142	19 juil. 2023 21:06:02	0.0
143	19 juil. 2023 21:09:02	0.0
144	19 juil. 2023 21:12:02	0.0
145	19 juil. 2023 21:15:02	0.0
146	19 juil. 2023 21:18:02	0.0
147	19 juil. 2023 21:21:02	0.0
148	19 juil. 2023 21:24:02	0.0
149	19 juil. 2023 21:27:02	0.0
150	19 juil. 2023 21:30:02	0.0
151	19 juil. 2023 21:33:02	0.0
152	19 juil. 2023 21:36:02	0.0
153	19 juil. 2023 21:39:02	0.0
154	19 juil. 2023 21:42:02	0.0
155	19 juil. 2023 21:45:02	0.0
156	19 juil. 2023 21:48:02	0.0
157	19 juil. 2023 21:51:02	0.0
158	19 juil. 2023 21:54:02	0.0
159	19 juil. 2023 21:57:02	0.0
160	19 juil. 2023 22:00:02	0.0
161	19 juil. 2023 22:03:02	0.0
162	19 juil. 2023 22:06:02	0.0
163	19 juil. 2023 22:09:02	0.0
164	19 juil. 2023 22:12:02	0.0
165	19 juil. 2023 22:15:02	0.0
166	19 juil. 2023 22:18:02	0.0
167	19 juil. 2023 22:21:02	0.0
168	19 juil. 2023 22:24:02	0.0
169	19 juil. 2023 22:27:02	0.0
170	19 juil. 2023 22:30:02	0.0
171	19 juil. 2023 22:33:02	0.0
172	19 juil. 2023 22:36:02	0.0
173	19 juil. 2023 22:39:02	0.0
174	19 juil. 2023 22:42:02	0.0
175	19 juil. 2023 22:45:02	0.0
176	19 juil. 2023 22:48:02	0.0
177	19 juil. 2023 22:51:02	0.0
178	19 juil. 2023 22:54:02	0.0
179	19 juil. 2023 22:57:02	0.0
180	19 juil. 2023 23:00:02	0.0
181	19 juil. 2023 23:03:02	0.0
182	19 juil. 2023 23:06:02	0.0
183	19 juil. 2023 23:09:02	0.0
184	19 juil. 2023 23:12:02	0.0
185	19 juil. 2023 23:15:02	0.0
186	19 juil. 2023 23:18:02	0.0
187	19 juil. 2023 23:21:02	0.0
188	19 juil. 2023 23:24:02	0.0
189	19 juil. 2023 23:27:02	0.0
190	19 juil. 2023 23:30:02	0.0
191	19 juil. 2023 23:33:02	0.0
192	19 juil. 2023 23:36:02	0.0
193	19 juil. 2023 23:39:02	0.0
194	19 juil. 2023 23:42:02	0.0
195	19 juil. 2023 23:45:02	0.0
196	19 juil. 2023 23:48:02	0.0
197	19 juil. 2023 23:51:02	0.0
198	19 juil. 2023 23:54:02	0.0
199	19 juil. 2023 23:57:02	0.0
200	20 juil. 2023 00:00:02	0.0
201	20 juil. 2023 00:03:02	0.0
202	20 juil. 2023 00:06:02	0.0
203	20 juil. 2023 00:09:02	0.0
204	20 juil. 2023 00:12:02	0.0
205	20 juil. 2023 00:15:02	0.0
206	20 juil. 2023 00:18:02	0.0
207	20 juil. 2023 00:21:02	0.0
208	20 juil. 2023 00:24:02	0.0
209	20 juil. 2023 00:27:02	0.0
210	20 juil. 2023 00:30:02	0.0
211	20 juil. 2023 00:33:02	0.0
212	20 juil. 2023 00:36:02	0.0
213	20 juil. 2023 00:39:02	0.0
214	20 juil. 2023 00:42:02	0.0
215	20 juil. 2023 00:45:02	0.0
216	20 juil. 2023 00:48:02	0.0
217	20 juil. 2023 00:51:02	0.0
218	20 juil. 2023 00:54:02	0.0
219	20 juil. 2023 00:57:02	0.0
220	20 juil. 2023 01:00:02	0.0
221	20 juil. 2023 01:03:02	0.0
222	20 juil. 2023 01:06:02	0.0
223	20 juil. 2023 01:09:02	0.0
224	20 juil. 2023 01:12:02	0.0
225	20 juil. 2023 01:15:02	0.0
226	20 juil. 2023 01:18:02	0.0
227	20 juil. 2023 01:21:02	0.0
228	20 juil. 2023 01:24:02	0.0
229	20 juil. 2023 01:27:02	0.0
230	20 juil. 2023 01:30:02	0.0
231	20 juil. 2023 01:33:02	0.0
232	20 juil. 2023 01:36:02	0.0
233	20 juil. 2023 01:39:02	0.0
234	20 juil. 2023 01:42:02	0.0
235	20 juil. 2023 01:45:02	0.0
236	20 juil. 2023 01:48:02	0.0
237	20 juil. 2023 01:51:02	0.0
238	20 juil. 2023 01:54:02	0.0
239	20 juil. 2023 01:57:02	0.0
240	20 juil. 2023 02:00:02	0.0
241	20 juil. 2023 02:03:02	0.0
242	20 juil. 2023 02:06:02	0.0
243	20 juil. 2023 02:09:02	0.0
244	20 juil. 2023 02:12:02	0.0
245	20 juil. 2023 02:15:02	0.0
246	20 juil. 2023 02:18:02	0.0
247	20 juil. 2023 02:21:02	0.0
248	20 juil. 2023 02:24:02	0.0
249	20 juil. 2023 02:27:02	0.0
250	20 juil. 2023 02:30:02	0.0
251	20 juil. 2023 02:33:02	0.0
252	20 juil. 2023 02:36:02	0.0
253	20 juil. 2023 02:39:02	0.0
254	20 juil. 2023 02:42:02	0.0
255	20 juil. 2023 02:45:02	0.0
256	20 juil. 2023 02:48:02	0.0
257	20 juil. 2023 02:51:02	0.0
258	20 juil. 2023 02:54:02	0.0
259	20 juil. 2023 02:57:02	0.0
260	20 juil. 2023 03:00:02	0.0
261	20 juil. 2023 03:03:02	0.0
262	20 juil. 2023 03:06:02	0.0
263	20 juil. 2023 03:09:02	0.0
264	20 juil. 2023 03:12:02	0.0
265	20 juil. 2023 03:15:02	0.0
266	20 juil. 2023 03:18:02	0.0
267	20 juil. 2023 03:21:02	0.0
268	20 juil. 2023 03:24:02	0.0
269	20 juil. 2023 03:27:02	0.0
270	20 juil. 2023 03:30:02	0.0
271	20 juil. 2023 03:33:02	0.0
272	20 juil. 2023 03:36:02	0.0
273	20 juil. 2023 03:39:02	0.0
274	20 juil. 2023 03:42:02	0.0
275	20 juil. 2023 03:45:02	0.0
276	20 juil. 2023 03:48:02	0.0
277	20 juil. 2023 03:51:02	0.0
278	20 juil. 2023 03:54:02	0.0
279	20 juil. 2023 03:57:02	0.0
280	20 juil. 2023 04:00:02	0.0
281	20 juil. 2023 04:03:02	0.0
282	20 juil. 2023 04:06:02	0.0
283	20 juil. 2023 04:09:02	0.0
284	20 juil. 2023 04:12:02	0.0
285	20 juil. 2023 04:15:02	0.0
286	20 juil. 2023 04:18:02	0.0
287	20 juil. 2023 04:21:02	0.0
288	20 juil. 2023 04:24:02	0.0
289	20 juil. 2023 04:27:02	0.0
290	20 juil. 2023 04:30:02	0.0
291	20 juil. 2023 04:33:02	0.0
292	20 juil. 2023 04:36:02	0.0
293	20 juil. 2023 04:39:02	0.0
294	20 juil. 2023 04:42:02	0.0
295	20 juil. 2023 04:45:02	0.0
296	20 juil. 2023 04:48:02	0.0
297	20 juil. 2023 04:51:02	0.0
298	20 juil. 2023 04:54:02	0.0
299	20 juil. 2023 04:57:02	0.0
300	20 juil. 2023 05:00:02	0.0
301	20 juil. 2023 05:03:02	0.0
302	20 juil. 2023 05:06:02	0.0
303	20 juil. 2023 05:09:02	0.0
304	20 juil. 2023 05:12:02	0.0
305	20 juil. 2023 05:15:02	0.0
306	20 juil. 2023 05:18:02	0.0
307	20 juil. 2023 05:21:02	0.0
308	20 juil. 2023 05:24:02	0.0
309	20 juil. 2023 05:27:02	0.0
310	20 juil. 2023 05:30:02	0.0
311	20 juil. 2023 05:33:02	0.0
312	20 juil. 2023 05:36:02	0.0
313	20 juil. 2023 05:39:02	0.0
314	20 juil. 2023 05:42:02	0.0
315	20 juil. 2023 05:45:02	0.0
316	20 juil. 2023 05:48:02	0.0
317	20 juil. 2023 05:51:02	0.0
318	20 juil. 2023 05:54:02	0.0
319	20 juil. 2023 05:57:02	0.0
320	20 juil. 2023 06:00:02	0.0
321	20 juil. 2023 06:03:02	0.0
322	20 juil. 2023 06:06:02	0.0
323	20 juil. 2023 06:09:02	0.0
324	20 juil. 2023 06:12:02	0.0
325	20 juil. 2023 06:15:02	0.0
326	20 juil. 2023 06:18:02	0.0
327	20 juil. 2023 06:21:02	0.0
