	Horaire	1
S/N		965372
Type		TGC-0011
Description		GEOP
Propriété		Counts
1	8 juil. 2023 12:39:10	0.0
2	8 juil. 2023 12:42:10	0.0
3	8 juil. 2023 12:45:10	0.0
4	8 juil. 2023 12:48:10	0.0
5	8 juil. 2023 12:51:10	0.0
6	8 juil. 2023 12:54:10	0.0
7	8 juil. 2023 12:57:10	0.0
8	8 juil. 2023 13:00:10	0.0
9	8 juil. 2023 13:03:10	0.0
10	8 juil. 2023 13:06:10	0.0
11	8 juil. 2023 13:09:10	0.0
12	8 juil. 2023 13:12:10	0.0
13	8 juil. 2023 13:15:10	0.0
14	8 juil. 2023 13:18:10	0.0
15	8 juil. 2023 13:21:10	0.0
16	8 juil. 2023 13:24:10	0.0
17	8 juil. 2023 13:27:10	0.0
18	8 juil. 2023 13:30:10	0.0
19	8 juil. 2023 13:33:10	0.0
20	8 juil. 2023 13:36:10	0.0
21	8 juil. 2023 13:39:10	0.0
22	8 juil. 2023 13:42:10	0.0
23	8 juil. 2023 13:45:10	0.0
24	8 juil. 2023 13:48:10	0.0
25	8 juil. 2023 13:51:10	0.0
26	8 juil. 2023 13:54:10	0.0
27	8 juil. 2023 13:57:10	0.0
28	8 juil. 2023 14:00:10	0.0
29	8 juil. 2023 14:03:10	0.0
30	8 juil. 2023 14:06:10	0.0
31	8 juil. 2023 14:09:10	0.0
32	8 juil. 2023 14:12:10	0.0
33	8 juil. 2023 14:15:10	0.0
34	8 juil. 2023 14:18:10	0.0
35	8 juil. 2023 14:21:10	0.0
36	8 juil. 2023 14:24:10	0.0
37	8 juil. 2023 14:27:10	0.0
38	8 juil. 2023 14:30:10	0.0
39	8 juil. 2023 14:33:10	0.0
40	8 juil. 2023 14:36:10	0.0
41	8 juil. 2023 14:39:10	0.0
42	8 juil. 2023 14:42:10	0.0
43	8 juil. 2023 14:45:10	0.0
44	8 juil. 2023 14:48:10	0.0
45	8 juil. 2023 14:51:10	0.0
46	8 juil. 2023 14:54:10	0.0
47	8 juil. 2023 14:57:10	0.0
48	8 juil. 2023 15:00:10	0.0
