created_at,entry_id,field1,field2,field3,field5,latitude,longitude,elevation,status
2025-09-09T06:42:00+00:00,26134,83.0,96.0,15.6,0.0,,,,
2025-09-09T06:45:00+00:00,26135,83.0,96.0,15.7,0.0,,,,
2025-09-09T06:48:00+00:00,26136,83.0,96.0,15.8,0.0,,,,
2025-09-09T06:51:00+00:00,26137,83.0,96.0,15.8,0.0,,,,
2025-09-09T06:54:00+00:00,26138,83.0,95.5,15.8,0.0,,,,
2025-09-09T06:57:00+00:00,26139,83.0,95.5,15.8,0.0,,,,
2025-09-09T07:00:00+00:00,26140,83.0,95.5,15.9,0.0,,,,
2025-09-09T07:03:00+00:00,26141,83.0,95.5,15.9,0.0,,,,
2025-09-09T07:06:00+00:00,26142,83.0,95.5,16.0,0.0,,,,
2025-09-09T07:09:00+00:00,26143,83.0,94.5,15.9,0.0,,,,
2025-09-09T07:12:00+00:00,26144,83.0,95.0,15.9,0.0,,,,
2025-09-09T07:15:00+00:00,26145,83.0,94.5,15.9,0.0,,,,
2025-09-09T07:18:00+00:00,26146,83.0,95.0,16.0,0.0,,,,
2025-09-09T07:21:00+00:00,26147,83.0,94.5,16.0,0.0,,,,
2025-09-09T07:24:00+00:00,26148,83.0,95.0,16.0,0.0,,,,
2025-09-09T07:27:00+00:00,26149,83.0,95.0,16.2,0.0,,,,
2025-09-09T07:30:00+00:00,26150,83.0,95.0,16.2,0.0,,,,
2025-09-09T07:33:00+00:00,26151,83.0,94.5,16.1,0.0,,,,
2025-09-09T07:36:00+00:00,26152,83.0,94.5,16.1,0.0,,,,
2025-09-09T07:39:00+00:00,26153,83.0,94.5,16.2,0.0,,,,
2025-09-09T07:42:00+00:00,26154,83.0,94.5,16.2,0.0,,,,
2025-09-09T07:45:00+00:00,26155,83.0,94.0,16.2,0.0,,,,
2025-09-09T07:48:00+00:00,26156,83.0,94.5,16.2,0.0,,,,
2025-09-09T07:51:00+00:00,26157,83.0,94.0,16.2,0.0,,,,
2025-09-09T07:54:00+00:00,26158,83.0,94.0,16.2,0.0,,,,
2025-09-09T07:57:00+00:00,26159,83.0,94.0,16.2,0.0,,,,
2025-09-09T08:00:00+00:00,26160,83.0,93.5,16.3,0.0,,,,
2025-09-09T08:03:00+00:00,26161,83.0,93.5,16.4,0.0,,,,
2025-09-09T08:06:00+00:00,26162,83.0,94.0,16.6,0.0,,,,
2025-09-09T08:09:00+00:00,26163,83.0,93.5,16.8,0.0,,,,
2025-09-09T08:12:00+00:00,26164,83.0,93.0,16.8,0.0,,,,
2025-09-09T08:15:00+00:00,26165,83.0,92.5,16.6,0.0,,,,
2025-09-09T08:18:00+00:00,26166,83.0,91.0,16.7,0.0,,,,
2025-09-09T08:21:00+00:00,26167,83.0,89.0,16.9,0.0,,,,
2025-09-09T08:24:00+00:00,26168,83.0,90.5,17.0,0.0,,,,
2025-09-09T08:27:00+00:00,26169,83.0,90.5,17.3,0.0,,,,
2025-09-09T08:30:00+00:00,26170,83.0,88.5,17.5,0.0,,,,
2025-09-09T08:33:00+00:00,26171,83.0,88.5,17.5,0.0,,,,
2025-09-09T08:36:00+00:00,26172,83.0,88.0,17.4,0.0,,,,
2025-09-09T08:39:00+00:00,26173,83.0,88.5,17.6,0.0,,,,
2025-09-09T08:42:00+00:00,26174,83.0,87.5,18.0,0.0,,,,
2025-09-09T08:45:00+00:00,26175,83.0,83.5,18.3,0.0,,,,
2025-09-09T08:48:00+00:00,26176,83.0,85.0,19.4,0.0,,,,
2025-09-09T08:51:00+00:00,26177,83.0,82.5,20.1,0.0,,,,
2025-09-09T08:54:00+00:00,26178,83.0,78.5,21.0,0.0,,,,
2025-09-09T08:57:00+00:00,26179,83.0,79.0,21.3,0.0,,,,
2025-09-09T09:00:00+00:00,26180,83.0,77.0,22.1,0.0,,,,
2025-09-09T09:03:00+00:00,26181,83.0,74.0,22.4,0.0,,,,
2025-09-09T09:06:00+00:00,26182,83.0,73.0,22.3,0.0,,,,
2025-09-09T09:09:00+00:00,26183,83.0,73.5,21.8,0.0,,,,
2025-09-09T09:12:00+00:00,26184,83.0,74.0,21.3,0.0,,,,
2025-09-09T09:15:00+00:00,26185,83.0,75.0,21.1,0.0,,,,
2025-09-09T09:18:00+00:00,26186,83.0,75.5,20.8,0.0,,,,
2025-09-09T09:21:00+00:00,26187,83.0,75.5,20.6,0.0,,,,
2025-09-09T09:24:00+00:00,26188,83.0,76.0,20.5,0.0,,,,
2025-09-09T09:27:00+00:00,26189,83.0,76.5,20.9,0.0,,,,
2025-09-09T09:30:00+00:00,26190,83.0,74.5,21.4,0.0,,,,
2025-09-09T09:33:00+00:00,26191,83.0,75.5,21.7,0.0,,,,
2025-09-09T09:36:00+00:00,26192,83.0,73.0,22.2,0.0,,,,
2025-09-09T09:39:00+00:00,26193,83.0,71.5,22.2,0.0,,,,
2025-09-09T09:42:00+00:00,26194,83.0,71.5,22.3,0.0,,,,
2025-09-09T09:45:00+00:00,26195,83.0,73.0,22.7,0.0,,,,
2025-09-09T09:48:00+00:00,26196,83.0,72.5,23.0,0.0,,,,
2025-09-09T09:51:00+00:00,26197,83.0,71.0,23.3,0.0,,,,
2025-09-09T09:54:00+00:00,26198,83.0,68.0,23.5,0.0,,,,
2025-09-09T09:57:00+00:00,26199,83.0,66.5,23.7,0.0,,,,
2025-09-09T10:00:00+00:00,26200,83.0,69.5,24.0,0.0,,,,
2025-09-09T10:03:00+00:00,26201,83.0,65.0,24.3,0.0,,,,
2025-09-09T10:06:00+00:00,26202,83.0,65.0,24.0,0.0,,,,
2025-09-09T10:09:00+00:00,26203,83.0,65.0,24.0,0.0,,,,
2025-09-09T10:12:00+00:00,26204,83.0,66.0,23.8,0.0,,,,
2025-09-09T10:15:00+00:00,26205,83.0,66.0,23.8,0.0,,,,
2025-09-09T10:18:00+00:00,26206,83.0,65.0,24.3,0.0,,,,
2025-09-09T10:21:00+00:00,26207,83.0,63.5,24.0,0.0,,,,
2025-09-09T10:24:00+00:00,26208,83.0,65.0,24.6,0.0,,,,
2025-09-09T10:27:00+00:00,26209,83.0,62.5,25.1,0.0,,,,
2025-09-09T10:30:00+00:00,26210,83.0,64.0,25.5,0.0,,,,
2025-09-09T10:33:00+00:00,26211,83.0,58.0,25.6,0.0,,,,
2025-09-09T10:36:00+00:00,26212,83.0,59.0,25.9,0.0,,,,
2025-09-09T10:39:00+00:00,26213,83.0,58.5,26.1,0.0,,,,
2025-09-09T10:42:00+00:00,26214,83.0,58.5,26.0,0.0,,,,
2025-09-09T10:45:00+00:00,26215,83.0,59.5,25.8,0.0,,,,
2025-09-09T10:48:00+00:00,26216,83.0,57.5,26.0,0.0,,,,
