	Horaire	1
S/N		752395
Type		TGC-0011
Description		LEXP
Propriété		Counts
1	14 avr. 2023 08:33:04	0.0
2	14 avr. 2023 08:36:04	0.0
3	14 avr. 2023 08:39:04	0.0
4	14 avr. 2023 08:42:04	0.0
5	14 avr. 2023 08:45:04	0.0
6	14 avr. 2023 08:48:04	0.0
7	14 avr. 2023 08:51:04	0.0
8	14 avr. 2023 08:54:04	0.0
9	14 avr. 2023 08:57:04	0.0
10	14 avr. 2023 09:00:04	0.0
11	14 avr. 2023 09:03:04	0.0
12	14 avr. 2023 09:06:04	0.0
13	14 avr. 2023 09:09:04	0.0
14	14 avr. 2023 09:12:04	0.0
15	14 avr. 2023 09:15:04	0.0
16	14 avr. 2023 09:18:04	0.0
17	14 avr. 2023 09:21:04	0.0
18	14 avr. 2023 09:24:04	0.0
19	14 avr. 2023 09:27:04	0.0
20	14 avr. 2023 09:30:04	0.0
21	14 avr. 2023 09:33:04	0.0
22	14 avr. 2023 09:36:04	0.0
23	14 avr. 2023 09:39:04	0.0
24	14 avr. 2023 09:42:04	0.0
25	14 avr. 2023 09:45:04	0.0
26	14 avr. 2023 09:48:04	0.0
27	14 avr. 2023 09:51:04	0.0
28	14 avr. 2023 09:54:04	0.0
29	14 avr. 2023 09:57:04	0.0
30	14 avr. 2023 10:00:04	0.0
31	14 avr. 2023 10:03:04	0.0
32	14 avr. 2023 10:06:04	0.0
33	14 avr. 2023 10:09:04	0.0
34	14 avr. 2023 10:12:04	0.0
35	14 avr. 2023 10:15:04	0.0
36	14 avr. 2023 10:18:04	0.0
37	14 avr. 2023 10:21:04	0.0
38	14 avr. 2023 10:24:04	0.0
39	14 avr. 2023 10:27:04	0.0
40	14 avr. 2023 10:30:04	0.0
41	14 avr. 2023 10:33:04	0.0
42	14 avr. 2023 10:36:04	0.0
43	14 avr. 2023 10:39:04	0.0
44	14 avr. 2023 10:42:04	0.0
45	14 avr. 2023 10:45:04	0.0
46	14 avr. 2023 10:48:04	0.0
47	14 avr. 2023 10:51:04	0.0
48	14 avr. 2023 10:54:04	0.0
49	14 avr. 2023 10:57:04	0.0
50	14 avr. 2023 11:00:04	0.0
51	14 avr. 2023 11:03:04	0.0
52	14 avr. 2023 11:06:04	0.0
53	14 avr. 2023 11:09:04	0.0
54	14 avr. 2023 11:12:04	0.0
55	14 avr. 2023 11:15:04	0.0
56	14 avr. 2023 11:18:04	0.0
57	14 avr. 2023 11:21:04	0.0
58	14 avr. 2023 11:24:04	0.0
59	14 avr. 2023 11:27:04	0.0
60	14 avr. 2023 11:30:04	0.0
61	14 avr. 2023 11:33:04	0.0
62	14 avr. 2023 11:36:04	0.0
63	14 avr. 2023 11:39:04	0.0
64	14 avr. 2023 11:42:04	0.0
65	14 avr. 2023 11:45:04	0.0
66	14 avr. 2023 11:48:04	0.0
67	14 avr. 2023 11:51:04	0.0
68	14 avr. 2023 11:54:04	0.0
69	14 avr. 2023 11:57:04	0.0
70	14 avr. 2023 12:00:04	0.0
71	14 avr. 2023 12:03:04	0.0
72	14 avr. 2023 12:06:04	0.0
73	14 avr. 2023 12:09:04	0.0
74	14 avr. 2023 12:12:04	0.0
75	14 avr. 2023 12:15:04	0.0
76	14 avr. 2023 12:18:04	0.0
77	14 avr. 2023 12:21:04	0.0
78	14 avr. 2023 12:24:04	0.0
79	14 avr. 2023 12:27:04	0.0
80	14 avr. 2023 12:30:04	0.0
81	14 avr. 2023 12:33:04	0.0
82	14 avr. 2023 12:36:04	0.0
83	14 avr. 2023 12:39:04	0.0
84	14 avr. 2023 12:42:04	0.0
85	14 avr. 2023 12:45:04	0.0
86	14 avr. 2023 12:48:04	0.0
87	14 avr. 2023 12:51:04	0.0
88	14 avr. 2023 12:54:04	0.0
89	14 avr. 2023 12:57:04	0.0
90	14 avr. 2023 13:00:04	0.0
91	14 avr. 2023 13:03:04	0.0
92	14 avr. 2023 13:06:04	0.0
93	14 avr. 2023 13:09:04	0.0
94	14 avr. 2023 13:12:04	0.0
95	14 avr. 2023 13:15:04	0.0
96	14 avr. 2023 13:18:04	0.0
97	14 avr. 2023 13:21:04	0.0
98	14 avr. 2023 13:24:04	0.0
99	14 avr. 2023 13:27:04	0.0
100	14 avr. 2023 13:30:04	0.0
101	14 avr. 2023 13:33:04	0.0
102	14 avr. 2023 13:36:04	0.0
103	14 avr. 2023 13:39:04	0.0
104	14 avr. 2023 13:42:04	0.0
105	14 avr. 2023 13:45:04	0.0
106	14 avr. 2023 13:48:04	0.0
107	14 avr. 2023 13:51:04	0.0
108	14 avr. 2023 13:54:04	0.0
