	Horaire	1
S/N		954900
Type		TGRF-4901-A
Description		PONT
Propriété		Count
969	01 Sep 2023 09:36:03	0 per Logging Interval
970	01 Sep 2023 09:39:03	0 per Logging Interval
971	01 Sep 2023 09:42:03	0 per Logging Interval
972	01 Sep 2023 09:45:03	0 per Logging Interval
973	01 Sep 2023 09:48:03	0 per Logging Interval
974	01 Sep 2023 09:51:03	0 per Logging Interval
975	01 Sep 2023 09:54:03	0 per Logging Interval
976	01 Sep 2023 09:57:03	0 per Logging Interval
977	01 Sep 2023 10:00:03	0 per Logging Interval
978	01 Sep 2023 10:03:03	0 per Logging Interval
979	01 Sep 2023 10:06:03	0 per Logging Interval
980	01 Sep 2023 10:09:03	0 per Logging Interval
981	01 Sep 2023 10:12:03	0 per Logging Interval
982	01 Sep 2023 10:15:03	0 per Logging Interval
983	01 Sep 2023 10:18:03	0 per Logging Interval
984	01 Sep 2023 10:21:03	0 per Logging Interval
985	01 Sep 2023 10:24:03	0 per Logging Interval
986	01 Sep 2023 10:27:03	0 per Logging Interval
987	01 Sep 2023 10:30:03	0 per Logging Interval
988	01 Sep 2023 10:33:03	0 per Logging Interval
989	01 Sep 2023 10:36:03	0 per Logging Interval
990	01 Sep 2023 10:39:03	0 per Logging Interval
991	01 Sep 2023 10:42:03	0 per Logging Interval
992	01 Sep 2023 10:45:03	0 per Logging Interval
993	01 Sep 2023 10:48:03	0 per Logging Interval
994	01 Sep 2023 10:51:03	0 per Logging Interval
995	01 Sep 2023 10:54:03	0 per Logging Interval
996	01 Sep 2023 10:57:03	0 per Logging Interval
997	01 Sep 2023 11:00:03	0 per Logging Interval
998	01 Sep 2023 11:03:03	0 per Logging Interval
999	01 Sep 2023 11:06:03	0 per Logging Interval
1000	01 Sep 2023 11:09:03	0 per Logging Interval
1001	01 Sep 2023 11:12:03	0 per Logging Interval
1002	01 Sep 2023 11:15:03	0 per Logging Interval
1003	01 Sep 2023 11:18:03	0 per Logging Interval
1004	01 Sep 2023 11:21:03	0 per Logging Interval
1005	01 Sep 2023 11:24:03	0 per Logging Interval
1006	01 Sep 2023 11:27:03	0 per Logging Interval
1007	01 Sep 2023 11:30:03	0 per Logging Interval
1008	01 Sep 2023 11:33:03	0 per Logging Interval
1009	01 Sep 2023 11:36:03	0 per Logging Interval
1010	01 Sep 2023 11:39:03	0 per Logging Interval
1011	01 Sep 2023 11:42:03	0 per Logging Interval
1012	01 Sep 2023 11:45:03	0 per Logging Interval
1013	01 Sep 2023 11:48:03	0 per Logging Interval
1014	01 Sep 2023 11:51:03	0 per Logging Interval
1015	01 Sep 2023 11:54:03	0 per Logging Interval
1016	01 Sep 2023 11:57:03	0 per Logging Interval
1017	01 Sep 2023 12:00:03	0 per Logging Interval
1018	01 Sep 2023 12:03:03	0 per Logging Interval
1019	01 Sep 2023 12:06:03	0 per Logging Interval
1020	01 Sep 2023 12:09:03	0 per Logging Interval
1021	01 Sep 2023 12:12:03	0 per Logging Interval
1022	01 Sep 2023 12:15:03	0 per Logging Interval
1023	01 Sep 2023 12:18:03	0 per Logging Interval
1024	01 Sep 2023 12:21:03	0 per Logging Interval
1025	01 Sep 2023 12:24:03	0 per Logging Interval
1026	01 Sep 2023 12:27:03	0 per Logging Interval
1027	01 Sep 2023 12:30:03	0 per Logging Interval
1028	01 Sep 2023 12:33:03	0 per Logging Interval
1029	01 Sep 2023 12:36:03	0 per Logging Interval
1030	01 Sep 2023 12:39:03	0 per Logging Interval
1031	01 Sep 2023 12:42:03	0 per Logging Interval
1032	01 Sep 2023 12:45:03	0 per Logging Interval
1033	01 Sep 2023 12:48:03	0 per Logging Interval
1034	01 Sep 2023 12:51:03	0 per Logging Interval
1035	01 Sep 2023 12:54:03	0 per Logging Interval
1036	01 Sep 2023 12:57:03	0 per Logging Interval
1037	01 Sep 2023 13:00:03	0 per Logging Interval
1038	01 Sep 2023 13:03:03	0 per Logging Interval
1039	01 Sep 2023 13:06:03	0 per Logging Interval
1040	01 Sep 2023 13:09:03	0 per Logging Interval
1041	01 Sep 2023 13:12:03	0 per Logging Interval
1042	01 Sep 2023 13:15:03	0 per Logging Interval
1043	01 Sep 2023 13:18:03	0 per Logging Interval
1044	01 Sep 2023 13:21:03	0 per Logging Interval
1045	01 Sep 2023 13:24:03	0 per Logging Interval
1046	01 Sep 2023 13:27:03	0 per Logging Interval
1047	01 Sep 2023 13:30:03	0 per Logging Interval
1048	01 Sep 2023 13:33:03	0 per Logging Interval
1049	01 Sep 2023 13:36:03	0 per Logging Interval
1050	01 Sep 2023 13:39:03	0 per Logging Interval
1051	01 Sep 2023 13:42:03	0 per Logging Interval
1052	01 Sep 2023 13:45:03	0 per Logging Interval
1053	01 Sep 2023 13:48:03	0 per Logging Interval
1054	01 Sep 2023 13:51:03	0 per Logging Interval
1055	01 Sep 2023 13:54:03	0 per Logging Interval
1056	01 Sep 2023 13:57:03	0 per Logging Interval
1057	01 Sep 2023 14:00:03	0 per Logging Interval
1058	01 Sep 2023 14:03:03	0 per Logging Interval
1059	01 Sep 2023 14:06:03	0 per Logging Interval
1060	01 Sep 2023 14:09:03	0 per Logging Interval
1061	01 Sep 2023 14:12:03	0 per Logging Interval
1062	01 Sep 2023 14:15:03	0 per Logging Interval
1063	01 Sep 2023 14:18:03	0 per Logging Interval
1064	01 Sep 2023 14:21:03	0 per Logging Interval
1065	01 Sep 2023 14:24:03	0 per Logging Interval
1066	01 Sep 2023 14:27:03	0 per Logging Interval
1067	01 Sep 2023 14:30:03	0 per Logging Interval
1068	01 Sep 2023 14:33:03	0 per Logging Interval
1069	01 Sep 2023 14:36:03	0 per Logging Interval
1070	01 Sep 2023 14:39:03	0 per Logging Interval
1071	01 Sep 2023 14:42:03	0 per Logging Interval
1072	01 Sep 2023 14:45:03	0 per Logging Interval
1073	01 Sep 2023 14:48:03	0 per Logging Interval
1074	01 Sep 2023 14:51:03	0 per Logging Interval
1075	01 Sep 2023 14:54:03	0 per Logging Interval
1076	01 Sep 2023 14:57:03	0 per Logging Interval
1077	01 Sep 2023 15:00:03	0 per Logging Interval
1078	01 Sep 2023 15:03:03	0 per Logging Interval
1079	01 Sep 2023 15:06:03	0 per Logging Interval
1080	01 Sep 2023 15:09:03	0 per Logging Interval
1081	01 Sep 2023 15:12:03	0 per Logging Interval
1082	01 Sep 2023 15:15:03	0 per Logging Interval
1083	01 Sep 2023 15:18:03	0 per Logging Interval
1084	01 Sep 2023 15:21:03	0 per Logging Interval
1085	01 Sep 2023 15:24:03	0 per Logging Interval
1086	01 Sep 2023 15:27:03	0 per Logging Interval
1087	01 Sep 2023 15:30:03	0 per Logging Interval
1088	01 Sep 2023 15:33:03	0 per Logging Interval
1089	01 Sep 2023 15:36:03	0 per Logging Interval
1090	01 Sep 2023 15:39:03	0 per Logging Interval
1091	01 Sep 2023 15:42:03	0 per Logging Interval
1092	01 Sep 2023 15:45:03	0 per Logging Interval
1093	01 Sep 2023 15:48:03	0 per Logging Interval
1094	01 Sep 2023 15:51:03	0 per Logging Interval
1095	01 Sep 2023 15:54:03	0 per Logging Interval
1096	01 Sep 2023 15:57:03	0 per Logging Interval
1097	01 Sep 2023 16:00:03	0 per Logging Interval
1098	01 Sep 2023 16:03:03	0 per Logging Interval
1099	01 Sep 2023 16:06:03	0 per Logging Interval
1100	01 Sep 2023 16:09:03	0 per Logging Interval
1101	01 Sep 2023 16:12:03	0 per Logging Interval
1102	01 Sep 2023 16:15:03	0 per Logging Interval
1103	01 Sep 2023 16:18:03	0 per Logging Interval
1104	01 Sep 2023 16:21:03	0 per Logging Interval
1105	01 Sep 2023 16:24:03	0 per Logging Interval
1106	01 Sep 2023 16:27:03	0 per Logging Interval
1107	01 Sep 2023 16:30:03	0 per Logging Interval
1108	01 Sep 2023 16:33:03	0 per Logging Interval
1109	01 Sep 2023 16:36:03	0 per Logging Interval
1110	01 Sep 2023 16:39:03	0 per Logging Interval
1111	01 Sep 2023 16:42:03	0 per Logging Interval
1112	01 Sep 2023 16:45:03	0 per Logging Interval
1113	01 Sep 2023 16:48:03	0 per Logging Interval
1114	01 Sep 2023 16:51:03	0 per Logging Interval
1115	01 Sep 2023 16:54:03	0 per Logging Interval
1116	01 Sep 2023 16:57:03	0 per Logging Interval
1117	01 Sep 2023 17:00:03	0 per Logging Interval
1118	01 Sep 2023 17:03:03	0 per Logging Interval
1119	01 Sep 2023 17:06:03	0 per Logging Interval
1120	01 Sep 2023 17:09:03	0 per Logging Interval
1121	01 Sep 2023 17:12:03	0 per Logging Interval
1122	01 Sep 2023 17:15:03	0 per Logging Interval
1123	01 Sep 2023 17:18:03	0 per Logging Interval
1124	01 Sep 2023 17:21:03	0 per Logging Interval
1125	01 Sep 2023 17:24:03	0 per Logging Interval
1126	01 Sep 2023 17:27:03	0 per Logging Interval
1127	01 Sep 2023 17:30:03	0 per Logging Interval
