station,overlap_period,source_1,source_2,n_rows_file_1,n_rows_file_2,alignment_method,n_points,mean_diff,std_diff,rmse,mae,correlation,max_diff,min_diff,best_lag_hours,best_correlation
BETH,20260305_20260401,BETH_20260402_csv,BETH_20260401_txt,12904,12930,tolerance (±1.5 min),12904,-0.00032703037817730936,0.02156875485304079,0.021570398305896337,0.003262554246745196,0.37017864964607744,0.63,-0.53,-1.0,0.9349409230744884
GEOP,20240411_20240411,GEOP_20240411_xlsx,GEOP_20241111_txt,3,3,tolerance (±1.5 min),2,0.0,0.0,0.0,0.0,,0.0,0.0,,
GEOP,20250729_20250909,GEOP_20250909_txt,GEOP_20260402_csv,20020,19902,tolerance (±1.5 min),19900,0.0014628140703517594,0.11182200987137351,0.11182876806454665,0.013251758793969849,0.1284335669990786,4.94,-2.27,-1.05,0.8535661492981446
GEOP,20251215_20260221,GEOP_20260416_txt,GEOP_20260402_csv,32613,20095,tolerance (±1.5 min),20093,-0.0006962623799333102,0.03074005837658503,0.030747177779796082,0.008565669636191708,0.49293344640069053,0.63,-0.51,0.95,0.9784032823765815
GEOP,20221111_20221115,GEOP_20230119_txt,GEOP_20221115_txt,3290,3290,exact,3290,6.990881458966565e-05,0.002305618672295665,0.002306328020072213,6.990881458966565e-05,0.8916202939131542,0.1,0.0,0.0,0.8953140798553889
GRVN,20230110_20230110,GRVN_20230110_txt,GRVN_20230327_txt,15,15,tolerance (±1.5 min),15,0.0,0.0,0.0,0.0,,0.0,0.0,-0.7,0.0
GRVN,20260204_20260401,GRVN_20260402_csv,GVRN_20260401_txt,9,26789,tolerance (±1.5 min),9,0.0,0.0,0.0,0.0,,0.0,0.0,,
LEXP,20231017_20231017,LEXP_20231214_txt,LEXP_20231017_txt,10,10,tolerance (±1.5 min),10,0.0,0.0,0.0,0.0,,0.0,0.0,-0.45,0.0
PONT,20230110_20230110,PONT_20230327_txt,PONT_20230110_txt,16,16,tolerance (±1.5 min),15,0.0,0.0,0.0,0.0,,0.0,0.0,-0.7,0.0
PONT,20230830_20230901,PONT_20230830_txt,PONT_20240229_txt,948,948,tolerance (±1.5 min),948,0.0009071729957805908,0.009974615681694008,0.010010542965500675,0.0012658227848101268,-0.005389746654300667,0.15,-0.1,4.05,0.6599719152276284
RIPR,20230110_20230110,RIPR_20230327_txt,RIPR_20230110_txt,12,12,tolerance (±1.5 min),12,0.0,0.0,0.0,0.0,,0.0,0.0,-0.55,0.0
ROUV,20260105_20260314,ROUV_20260402_csv,ROUV_20260401_txt,32513,32613,tolerance (±1.5 min),32513,-0.003971026973825855,0.02014755539249962,0.02053486202889643,0.004020853197182666,-0.0012529169746062303,0.24,-0.41,-5.95,0.021865829555272342
ROUV,20230110_20230110,ROUV_20230327_txt,ROUV_20230110_txt,16,16,tolerance (±1.5 min),15,0.0,0.0,0.0,0.0,,0.0,0.0,-0.7,0.0
ROUV,20240229_20240229,ROUV_20240229_txt,ROUV_20241114_xlsx,3,3,tolerance (±1.5 min),2,0.0,0.0,0.0,0.0,,0.0,0.0,,
VCLB,20231107_20231107,VCLB_20231218_txt,VCLB_20231107_txt,135,134,tolerance (±1.5 min),134,-0.00014925373134328358,0.003675784326689931,0.003665083330689157,0.00044776119402985075,-0.010673385899176768,0.01,-0.04,3.15,0.7071067811865476
VCLB,20260305_20260401,VCLB_20260402_csv,VCLB_20260401_txt,12699,12931,tolerance (±1.5 min),12699,4.488542404913773e-05,0.0010676597080477891,0.0010685608034752534,4.803527836837546e-05,-0.0005500223248246837,0.09,-0.01,-2.4,0.05913123959890826
