	Horaire	1
S/N		967756
Type		TGC-0011
Description		ELYS
Propriété		Counts
1	29 mars 2023 13:18:14	0.0
2	29 mars 2023 13:21:14	0.0
3	29 mars 2023 13:24:14	0.0
4	29 mars 2023 13:27:14	0.0
5	29 mars 2023 13:30:14	0.0
6	29 mars 2023 13:33:14	0.0
7	29 mars 2023 13:36:14	0.0
8	29 mars 2023 13:39:14	0.0
9	29 mars 2023 13:42:14	0.0
10	29 mars 2023 13:45:14	0.0
11	29 mars 2023 13:48:14	0.0
12	29 mars 2023 13:51:14	0.0
13	29 mars 2023 13:54:14	0.0
14	29 mars 2023 13:57:14	0.0
15	29 mars 2023 14:00:14	0.0
16	29 mars 2023 14:03:14	0.0
17	29 mars 2023 14:06:14	0.0
18	29 mars 2023 14:09:14	0.0
19	29 mars 2023 14:12:14	0.0
20	29 mars 2023 14:15:14	0.0
21	29 mars 2023 14:18:14	0.0
22	29 mars 2023 14:21:14	0.0
23	29 mars 2023 14:24:14	0.0
24	29 mars 2023 14:27:14	0.0
25	29 mars 2023 14:30:14	0.0
26	29 mars 2023 14:33:14	0.0
27	29 mars 2023 14:36:14	0.0
28	29 mars 2023 14:39:14	0.0
29	29 mars 2023 14:42:14	0.0
30	29 mars 2023 14:45:14	0.0
31	29 mars 2023 14:48:14	0.0
32	29 mars 2023 14:51:14	0.0
33	29 mars 2023 14:54:14	0.0
34	29 mars 2023 14:57:14	0.0
35	29 mars 2023 15:00:14	0.0
36	29 mars 2023 15:03:14	0.0
37	29 mars 2023 15:06:14	0.0
38	29 mars 2023 15:09:14	0.0
39	29 mars 2023 15:12:14	0.0
40	29 mars 2023 15:15:14	0.0
41	29 mars 2023 15:18:14	0.0
42	29 mars 2023 15:21:14	0.0
43	29 mars 2023 15:24:14	0.0
44	29 mars 2023 15:27:14	0.0
45	29 mars 2023 15:30:14	0.0
46	29 mars 2023 15:33:14	0.0
47	29 mars 2023 15:36:14	0.0
48	29 mars 2023 15:39:14	0.0
49	29 mars 2023 15:42:14	0.0
50	29 mars 2023 15:45:14	0.0
51	29 mars 2023 15:48:14	0.0
52	29 mars 2023 15:51:14	0.0
53	29 mars 2023 15:54:14	0.0
54	29 mars 2023 15:57:14	0.0
55	29 mars 2023 16:00:14	0.0
56	29 mars 2023 16:03:14	0.0
57	29 mars 2023 16:06:14	0.0
58	29 mars 2023 16:09:14	0.0
59	29 mars 2023 16:12:14	0.0
60	29 mars 2023 16:15:14	0.0
61	29 mars 2023 16:18:14	0.0
62	29 mars 2023 16:21:14	0.0
63	29 mars 2023 16:24:14	0.0
64	29 mars 2023 16:27:14	0.0
65	29 mars 2023 16:30:14	0.0
66	29 mars 2023 16:33:14	0.0
67	29 mars 2023 16:36:14	0.0
68	29 mars 2023 16:39:14	0.0
69	29 mars 2023 16:42:14	0.0
70	29 mars 2023 16:45:14	0.0
71	29 mars 2023 16:48:14	0.0
72	29 mars 2023 16:51:14	0.0
73	29 mars 2023 16:54:14	0.0
74	29 mars 2023 16:57:14	0.0
75	29 mars 2023 17:00:14	0.0
76	29 mars 2023 17:03:14	0.0
77	29 mars 2023 17:06:14	0.0
78	29 mars 2023 17:09:14	0.0
79	29 mars 2023 17:12:14	0.0
80	29 mars 2023 17:15:14	0.0
81	29 mars 2023 17:18:14	0.0
82	29 mars 2023 17:21:14	0.0
83	29 mars 2023 17:24:14	0.0
84	29 mars 2023 17:27:14	0.0
85	29 mars 2023 17:30:14	0.0
86	29 mars 2023 17:33:14	0.0
87	29 mars 2023 17:36:14	0.0
88	29 mars 2023 17:39:14	0.0
89	29 mars 2023 17:42:14	0.0
90	29 mars 2023 17:45:14	0.0
91	29 mars 2023 17:48:14	0.0
92	29 mars 2023 17:51:14	0.0
93	29 mars 2023 17:54:14	0.0
94	29 mars 2023 17:57:14	0.0
95	29 mars 2023 18:00:14	0.0
96	29 mars 2023 18:03:14	0.0
97	29 mars 2023 18:06:14	0.0
98	29 mars 2023 18:09:14	0.0
99	29 mars 2023 18:12:14	0.0
100	29 mars 2023 18:15:14	0.0
101	29 mars 2023 18:18:14	0.0
102	29 mars 2023 18:21:14	0.0
103	29 mars 2023 18:24:14	0.0
104	29 mars 2023 18:27:14	0.0
105	29 mars 2023 18:30:14	0.0
106	29 mars 2023 18:33:14	0.0
107	29 mars 2023 18:36:14	0.0
108	29 mars 2023 18:39:14	0.0
109	29 mars 2023 18:42:14	4.0
110	29 mars 2023 18:45:14	2.0
111	29 mars 2023 18:48:14	5.0
112	29 mars 2023 18:51:14	0.0
113	29 mars 2023 18:54:14	0.0
114	29 mars 2023 18:57:14	0.0
115	29 mars 2023 19:00:14	0.0
116	29 mars 2023 19:03:14	0.0
117	29 mars 2023 19:06:14	0.0
118	29 mars 2023 19:09:14	0.0
119	29 mars 2023 19:12:14	0.0
120	29 mars 2023 19:15:14	0.0
121	29 mars 2023 19:18:14	3.0
122	29 mars 2023 19:21:14	0.0
123	29 mars 2023 19:24:14	2.0
124	29 mars 2023 19:27:14	0.0
125	29 mars 2023 19:30:14	0.0
126	29 mars 2023 19:33:14	0.0
127	29 mars 2023 19:36:14	0.0
128	29 mars 2023 19:39:14	0.0
129	29 mars 2023 19:42:14	2.0
130	29 mars 2023 19:45:14	0.0
131	29 mars 2023 19:48:14	0.0
132	29 mars 2023 19:51:14	0.0
133	29 mars 2023 19:54:14	0.0
134	29 mars 2023 19:57:14	0.0
135	29 mars 2023 20:00:14	0.0
136	29 mars 2023 20:03:14	0.0
137	29 mars 2023 20:06:14	0.0
138	29 mars 2023 20:09:14	0.0
139	29 mars 2023 20:12:14	0.0
140	29 mars 2023 20:15:14	0.0
141	29 mars 2023 20:18:14	0.0
142	29 mars 2023 20:21:14	0.0
143	29 mars 2023 20:24:14	0.0
144	29 mars 2023 20:27:14	0.0
145	29 mars 2023 20:30:14	0.0
146	29 mars 2023 20:33:14	0.0
147	29 mars 2023 20:36:14	0.0
148	29 mars 2023 20:39:14	0.0
149	29 mars 2023 20:42:14	0.0
150	29 mars 2023 20:45:14	0.0
151	29 mars 2023 20:48:14	0.0
152	29 mars 2023 20:51:14	0.0
153	29 mars 2023 20:54:14	0.0
154	29 mars 2023 20:57:14	0.0
155	29 mars 2023 21:00:14	2.0
156	29 mars 2023 21:03:14	10.0
157	29 mars 2023 21:06:14	4.0
158	29 mars 2023 21:09:14	0.0
159	29 mars 2023 21:12:14	11.0
160	29 mars 2023 21:15:14	2.0
161	29 mars 2023 21:18:14	1.0
162	29 mars 2023 21:21:14	0.0
163	29 mars 2023 21:24:14	0.0
164	29 mars 2023 21:27:14	1.0
165	29 mars 2023 21:30:14	0.0
166	29 mars 2023 21:33:14	0.0
167	29 mars 2023 21:36:14	0.0
168	29 mars 2023 21:39:14	0.0
169	29 mars 2023 21:42:14	0.0
170	29 mars 2023 21:45:14	0.0
171	29 mars 2023 21:48:14	0.0
172	29 mars 2023 21:51:14	0.0
173	29 mars 2023 21:54:14	4.0
174	29 mars 2023 21:57:14	10.0
175	29 mars 2023 22:00:14	3.0
176	29 mars 2023 22:03:14	15.0
177	29 mars 2023 22:06:14	13.0
178	29 mars 2023 22:09:14	0.0
179	29 mars 2023 22:12:14	0.0
180	29 mars 2023 22:15:14	10.0
181	29 mars 2023 22:18:14	4.0
182	29 mars 2023 22:21:14	8.0
183	29 mars 2023 22:24:14	9.0
184	29 mars 2023 22:27:14	13.0
185	29 mars 2023 22:30:14	4.0
186	29 mars 2023 22:33:14	15.0
187	29 mars 2023 22:36:14	17.0
188	29 mars 2023 22:39:14	14.0
189	29 mars 2023 22:42:14	22.0
190	29 mars 2023 22:45:14	9.0
191	29 mars 2023 22:48:14	7.0
192	29 mars 2023 22:51:14	33.0
193	29 mars 2023 22:54:14	15.0
194	29 mars 2023 22:57:14	14.0
195	29 mars 2023 23:00:14	10.0
196	29 mars 2023 23:03:14	4.0
197	29 mars 2023 23:06:14	24.0
198	29 mars 2023 23:09:14	15.0
199	29 mars 2023 23:12:14	8.0
200	29 mars 2023 23:15:14	5.0
201	29 mars 2023 23:18:14	4.0
202	29 mars 2023 23:21:14	9.0
203	29 mars 2023 23:24:14	23.0
204	29 mars 2023 23:27:14	0.0
205	29 mars 2023 23:30:14	21.0
206	29 mars 2023 23:33:14	31.0
207	29 mars 2023 23:36:14	31.0
208	29 mars 2023 23:39:14	20.0
209	29 mars 2023 23:42:14	7.0
210	29 mars 2023 23:45:14	3.0
211	29 mars 2023 23:48:14	4.0
212	29 mars 2023 23:51:14	4.0
213	29 mars 2023 23:54:14	4.0
214	29 mars 2023 23:57:14	19.0
215	30 mars 2023 00:00:14	5.0
216	30 mars 2023 00:03:14	8.0
217	30 mars 2023 00:06:14	0.0
218	30 mars 2023 00:09:14	6.0
219	30 mars 2023 00:12:14	6.0
220	30 mars 2023 00:15:14	0.0
221	30 mars 2023 00:18:14	0.0
222	30 mars 2023 00:21:14	0.0
223	30 mars 2023 00:24:14	7.0
224	30 mars 2023 00:27:14	0.0
225	30 mars 2023 00:30:14	4.0
226	30 mars 2023 00:33:14	0.0
227	30 mars 2023 00:36:14	0.0
228	30 mars 2023 00:39:14	0.0
229	30 mars 2023 00:42:14	0.0
230	30 mars 2023 00:45:14	0.0
231	30 mars 2023 00:48:14	0.0
232	30 mars 2023 00:51:14	0.0
233	30 mars 2023 00:54:14	0.0
234	30 mars 2023 00:57:14	0.0
235	30 mars 2023 01:00:14	0.0
236	30 mars 2023 01:03:14	0.0
237	30 mars 2023 01:06:14	0.0
238	30 mars 2023 01:09:14	0.0
239	30 mars 2023 01:12:14	0.0
240	30 mars 2023 01:15:14	0.0
241	30 mars 2023 01:18:14	0.0
242	30 mars 2023 01:21:14	0.0
243	30 mars 2023 01:24:14	0.0
244	30 mars 2023 01:27:14	0.0
245	30 mars 2023 01:30:14	0.0
246	30 mars 2023 01:33:14	0.0
247	30 mars 2023 01:36:14	0.0
248	30 mars 2023 01:39:14	0.0
249	30 mars 2023 01:42:14	0.0
250	30 mars 2023 01:45:14	0.0
251	30 mars 2023 01:48:14	0.0
252	30 mars 2023 01:51:14	0.0
253	30 mars 2023 01:54:14	0.0
254	30 mars 2023 01:57:14	0.0
255	30 mars 2023 02:00:14	0.0
256	30 mars 2023 02:03:14	0.0
257	30 mars 2023 02:06:14	0.0
258	30 mars 2023 02:09:14	0.0
259	30 mars 2023 02:12:14	0.0
260	30 mars 2023 02:15:14	0.0
261	30 mars 2023 02:18:14	0.0
262	30 mars 2023 02:21:14	0.0
263	30 mars 2023 02:24:14	0.0
264	30 mars 2023 02:27:14	0.0
265	30 mars 2023 02:30:14	0.0
266	30 mars 2023 02:33:14	0.0
267	30 mars 2023 02:36:14	0.0
268	30 mars 2023 02:39:14	0.0
269	30 mars 2023 02:42:14	0.0
270	30 mars 2023 02:45:14	0.0
271	30 mars 2023 02:48:14	0.0
272	30 mars 2023 02:51:14	0.0
273	30 mars 2023 02:54:14	0.0
274	30 mars 2023 02:57:14	0.0
275	30 mars 2023 03:00:14	0.0
276	30 mars 2023 03:03:14	0.0
277	30 mars 2023 03:06:14	0.0
278	30 mars 2023 03:09:14	0.0
279	30 mars 2023 03:12:14	0.0
280	30 mars 2023 03:15:14	0.0
281	30 mars 2023 03:18:14	0.0
282	30 mars 2023 03:21:14	0.0
283	30 mars 2023 03:24:14	0.0
284	30 mars 2023 03:27:14	0.0
285	30 mars 2023 03:30:14	0.0
286	30 mars 2023 03:33:14	0.0
287	30 mars 2023 03:36:14	0.0
288	30 mars 2023 03:39:14	0.0
289	30 mars 2023 03:42:14	0.0
290	30 mars 2023 03:45:14	0.0
291	30 mars 2023 03:48:14	0.0
292	30 mars 2023 03:51:14	0.0
293	30 mars 2023 03:54:14	0.0
294	30 mars 2023 03:57:14	0.0
295	30 mars 2023 04:00:14	0.0
296	30 mars 2023 04:03:14	0.0
297	30 mars 2023 04:06:14	0.0
298	30 mars 2023 04:09:14	0.0
299	30 mars 2023 04:12:14	0.0
300	30 mars 2023 04:15:14	0.0
301	30 mars 2023 04:18:14	0.0
302	30 mars 2023 04:21:14	0.0
303	30 mars 2023 04:24:14	13.0
304	30 mars 2023 04:27:14	0.0
305	30 mars 2023 04:30:14	0.0
306	30 mars 2023 04:33:14	0.0
307	30 mars 2023 04:36:14	0.0
308	30 mars 2023 04:39:14	0.0
309	30 mars 2023 04:42:14	0.0
310	30 mars 2023 04:45:14	0.0
311	30 mars 2023 04:48:14	0.0
312	30 mars 2023 04:51:14	0.0
313	30 mars 2023 04:54:14	0.0
314	30 mars 2023 04:57:14	0.0
315	30 mars 2023 05:00:14	0.0
316	30 mars 2023 05:03:14	0.0
317	30 mars 2023 05:06:14	0.0
318	30 mars 2023 05:09:14	0.0
319	30 mars 2023 05:12:14	0.0
320	30 mars 2023 05:15:14	0.0
321	30 mars 2023 05:18:14	0.0
322	30 mars 2023 05:21:14	0.0
323	30 mars 2023 05:24:14	0.0
324	30 mars 2023 05:27:14	0.0
325	30 mars 2023 05:30:14	0.0
326	30 mars 2023 05:33:14	0.0
327	30 mars 2023 05:36:14	0.0
328	30 mars 2023 05:39:14	0.0
329	30 mars 2023 05:42:14	0.0
330	30 mars 2023 05:45:14	0.0
331	30 mars 2023 05:48:14	0.0
332	30 mars 2023 05:51:14	0.0
333	30 mars 2023 05:54:14	0.0
334	30 mars 2023 05:57:14	0.0
335	30 mars 2023 06:00:14	0.0
336	30 mars 2023 06:03:14	0.0
337	30 mars 2023 06:06:14	0.0
338	30 mars 2023 06:09:14	0.0
339	30 mars 2023 06:12:14	0.0
340	30 mars 2023 06:15:14	0.0
341	30 mars 2023 06:18:14	0.0
342	30 mars 2023 06:21:14	0.0
343	30 mars 2023 06:24:14	0.0
