	Horaire	1
S/N		765018
Type		TGC-0011
Description		GRVN
Propriété		Counts
1	26 sept. 2023 08:03:57	0.0
2	26 sept. 2023 08:06:57	0.0
3	26 sept. 2023 08:09:57	0.0
4	26 sept. 2023 08:12:57	0.0
5	26 sept. 2023 08:15:57	0.0
6	26 sept. 2023 08:18:57	0.0
7	26 sept. 2023 08:21:57	0.0
8	26 sept. 2023 08:24:57	0.0
9	26 sept. 2023 08:27:57	0.0
10	26 sept. 2023 08:30:57	0.0
11	26 sept. 2023 08:33:57	0.0
12	26 sept. 2023 08:36:57	0.0
13	26 sept. 2023 08:39:57	0.0
14	26 sept. 2023 08:42:57	0.0
15	26 sept. 2023 08:45:57	0.0
16	26 sept. 2023 08:48:57	0.0
17	26 sept. 2023 08:51:57	0.0
18	26 sept. 2023 08:54:57	0.0
19	26 sept. 2023 08:57:57	0.0
20	26 sept. 2023 09:00:57	0.0
21	26 sept. 2023 09:03:57	0.0
22	26 sept. 2023 09:06:57	0.0
23	26 sept. 2023 09:09:57	0.0
24	26 sept. 2023 09:12:57	0.0
25	26 sept. 2023 09:15:57	0.0
26	26 sept. 2023 09:18:57	0.0
27	26 sept. 2023 09:21:57	0.0
28	26 sept. 2023 09:24:57	0.0
29	26 sept. 2023 09:27:57	0.0
30	26 sept. 2023 09:30:57	0.0
31	26 sept. 2023 09:33:57	0.0
32	26 sept. 2023 09:36:57	0.0
33	26 sept. 2023 09:39:57	0.0
34	26 sept. 2023 09:42:57	0.0
35	26 sept. 2023 09:45:57	0.0
36	26 sept. 2023 09:48:57	0.0
37	26 sept. 2023 09:51:57	0.0
38	26 sept. 2023 09:54:57	0.0
39	26 sept. 2023 09:57:57	0.0
40	26 sept. 2023 10:00:57	0.0
41	26 sept. 2023 10:03:57	0.0
42	26 sept. 2023 10:06:57	0.0
43	26 sept. 2023 10:09:57	0.0
44	26 sept. 2023 10:12:57	0.0
45	26 sept. 2023 10:15:57	0.0
46	26 sept. 2023 10:18:57	0.0
47	26 sept. 2023 10:21:57	0.0
48	26 sept. 2023 10:24:57	0.0
49	26 sept. 2023 10:27:57	0.0
50	26 sept. 2023 10:30:57	0.0
51	26 sept. 2023 10:33:57	0.0
