⁄	Horaire	1					
S/N	752395						
Type	TGC-0011						
Description	LEXP						
Propriete	Counts	
1	27 oct. 2022 00:05:00	0
2	27 oct. 2022 00:10:00	0
3	27 oct. 2022 00:15:00	0
4	27 oct. 2022 00:20:00	0
5	27 oct. 2022 00:25:00	0
6	27 oct. 2022 00:30:00	0
7	27 oct. 2022 00:35:00	0
8	27 oct. 2022 00:40:00	0
9	27 oct. 2022 00:45:00	0
10	27 oct. 2022 00:50:00	0
11	27 oct. 2022 00:55:00	0
12	28 oct. 2022 01:00:00	0
13	28 oct. 2022 01:05:00	0
14	28 oct. 2022 01:10:00	0
15	28 oct. 2022 01:15:00	0
16	28 oct. 2022 01:20:00	0
17	28 oct. 2022 01:25:00	0
18	28 oct. 2022 01:30:00	0
19	28 oct. 2022 01:35:00	0
20	28 oct. 2022 01:40:00	0
21	28 oct. 2022 01:45:00	0
22	28 oct. 2022 01:50:00	0
23	28 oct. 2022 01:55:00	0
24	28 oct. 2022 02:00:00	0
25	28 oct. 2022 02:05:00	0
26	28 oct. 2022 02:10:00	0
27	28 oct. 2022 02:15:00	0
28	28 oct. 2022 02:20:00	0
29	28 oct. 2022 02:25:00	0
30	28 oct. 2022 02:30:00	0
31	28 oct. 2022 02:35:00	0
32	28 oct. 2022 02:40:00	0
33	28 oct. 2022 02:45:00	0
34	28 oct. 2022 02:50:00	0
35	28 oct. 2022 02:55:00	0
36	28 oct. 2022 03:00:00	0
37	28 oct. 2022 03:05:00	0
38	28 oct. 2022 03:10:00	0
39	28 oct. 2022 03:15:00	0
40	28 oct. 2022 03:20:00	0
41	28 oct. 2022 03:25:00	0
42	28 oct. 2022 03:30:00	0
43	28 oct. 2022 03:35:00	0
44	28 oct. 2022 03:40:00	0
45	28 oct. 2022 03:45:00	0
46	28 oct. 2022 03:50:00	0
47	28 oct. 2022 03:55:00	0
48	28 oct. 2022 04:00:00	0
49	28 oct. 2022 04:05:00	0
50	28 oct. 2022 04:10:00	0
51	28 oct. 2022 04:15:00	0
52	28 oct. 2022 04:20:00	0
53	28 oct. 2022 04:25:00	0
54	28 oct. 2022 04:30:00	0
55	28 oct. 2022 04:35:00	0
56	28 oct. 2022 04:40:00	0
57	28 oct. 2022 04:45:00	0
58	28 oct. 2022 04:50:00	0
59	28 oct. 2022 04:55:00	0
60	28 oct. 2022 05:00:00	0
61	28 oct. 2022 05:05:00	0
62	28 oct. 2022 05:10:00	0
63	28 oct. 2022 05:15:00	0
64	28 oct. 2022 05:20:00	0
65	28 oct. 2022 05:25:00	0
66	28 oct. 2022 05:30:00	0
67	28 oct. 2022 05:35:00	0
68	28 oct. 2022 05:40:00	0
69	28 oct. 2022 05:45:00	0
70	28 oct. 2022 05:50:00	0
71	28 oct. 2022 05:55:00	0
72	28 oct. 2022 06:00:00	0
73	28 oct. 2022 06:05:00	0
74	28 oct. 2022 06:10:00	0
75	28 oct. 2022 06:15:00	0
76	28 oct. 2022 06:20:00	0
77	28 oct. 2022 06:25:00	0
78	28 oct. 2022 06:30:00	0
79	28 oct. 2022 06:35:00	0
80	28 oct. 2022 06:40:00	0
81	28 oct. 2022 06:45:00	0
82	28 oct. 2022 06:50:00	0
83	28 oct. 2022 06:55:00	0
84	28 oct. 2022 07:00:00	0
85	28 oct. 2022 07:05:00	0
86	28 oct. 2022 07:10:00	0
87	28 oct. 2022 07:15:00	0
88	28 oct. 2022 07:20:00	0
89	28 oct. 2022 07:25:00	0
90	28 oct. 2022 07:30:00	0
91	28 oct. 2022 07:35:00	0
92	28 oct. 2022 07:40:00	0
93	28 oct. 2022 07:45:00	0
94	28 oct. 2022 07:50:00	0
95	28 oct. 2022 07:55:00	0
96	28 oct. 2022 08:00:00	0
97	28 oct. 2022 08:05:00	0
