	Horaire	1
S/N		965372
Type		TGC-0011
Description		PONT_2
Propriété		Counts
1	8 avr. 2025 07:03:35	0.0
2	8 avr. 2025 07:06:35	0.0
3	8 avr. 2025 07:09:35	0.0
4	8 avr. 2025 07:12:35	0.0
5	8 avr. 2025 07:15:35	0.0
6	8 avr. 2025 07:18:35	0.0
7	8 avr. 2025 07:21:35	0.0
8	8 avr. 2025 07:24:35	0.0
9	8 avr. 2025 07:27:35	0.0
10	8 avr. 2025 07:30:35	0.0
11	8 avr. 2025 07:33:35	0.0
12	8 avr. 2025 07:36:35	0.0
13	8 avr. 2025 07:39:35	0.0
14	8 avr. 2025 07:42:35	0.0
15	8 avr. 2025 07:45:35	0.0
16	8 avr. 2025 07:48:35	0.0
17	8 avr. 2025 07:51:35	0.0
18	8 avr. 2025 07:54:35	0.0
19	8 avr. 2025 07:57:35	0.0
20	8 avr. 2025 08:00:35	0.0
21	8 avr. 2025 08:03:35	0.0
22	8 avr. 2025 08:06:35	0.0
23	8 avr. 2025 08:09:35	0.0
24	8 avr. 2025 08:12:35	0.0
25	8 avr. 2025 08:15:35	0.0
26	8 avr. 2025 08:18:35	0.0
27	8 avr. 2025 08:21:35	0.0
28	8 avr. 2025 08:24:35	0.0
29	8 avr. 2025 08:27:35	0.0
30	8 avr. 2025 08:30:35	0.0
31	8 avr. 2025 08:33:35	0.0
32	8 avr. 2025 08:36:35	0.0
33	8 avr. 2025 08:39:35	0.0
34	8 avr. 2025 08:42:35	0.0
35	8 avr. 2025 08:45:35	0.0
36	8 avr. 2025 08:48:35	0.0
37	8 avr. 2025 08:51:35	0.0
38	8 avr. 2025 08:54:35	0.0
39	8 avr. 2025 08:57:35	0.0
40	8 avr. 2025 09:00:35	0.0
41	8 avr. 2025 09:03:35	0.0
42	8 avr. 2025 09:06:35	0.0
43	8 avr. 2025 09:09:35	0.0
44	8 avr. 2025 09:12:35	0.0
45	8 avr. 2025 09:15:35	0.0
46	8 avr. 2025 09:18:35	0.0
47	8 avr. 2025 09:21:35	0.0
48	8 avr. 2025 09:24:35	0.0
