	Horaire	1
S/N		929131
Type		TGRF-4901-A
Description		VCLB
Propriété		Count
1	24 avr. 2023 13:49:15	2 per Logging Interval
2	24 avr. 2023 13:52:15	0 per Logging Interval
3	24 avr. 2023 13:55:15	1 per Logging Interval
4	24 avr. 2023 13:58:15	0 per Logging Interval
5	24 avr. 2023 14:01:15	0 per Logging Interval
6	24 avr. 2023 14:04:15	0 per Logging Interval
7	24 avr. 2023 14:07:15	0 per Logging Interval
8	24 avr. 2023 14:10:15	0 per Logging Interval
9	24 avr. 2023 14:13:15	0 per Logging Interval
10	24 avr. 2023 14:16:15	0 per Logging Interval
11	24 avr. 2023 14:19:15	0 per Logging Interval
12	25 avr. 2023 07:13:02	7 per Logging Interval
13	25 avr. 2023 07:16:02	6 per Logging Interval
14	25 avr. 2023 07:19:02	3 per Logging Interval
15	25 avr. 2023 07:22:02	0 per Logging Interval
16	25 avr. 2023 07:25:02	0 per Logging Interval
17	25 avr. 2023 10:14:11	0 per Logging Interval
18	25 avr. 2023 10:17:11	0 per Logging Interval
19	25 avr. 2023 10:20:11	0 per Logging Interval
20	25 avr. 2023 10:23:11	11 per Logging Interval
21	25 avr. 2023 10:26:11	15 per Logging Interval
22	25 avr. 2023 10:29:11	0 per Logging Interval
23	25 avr. 2023 10:32:11	6 per Logging Interval
24	25 avr. 2023 10:35:11	1 per Logging Interval
25	25 avr. 2023 10:38:11	3 per Logging Interval
26	25 avr. 2023 10:41:11	16 per Logging Interval
27	25 avr. 2023 10:44:11	1 per Logging Interval
28	25 avr. 2023 10:47:11	4 per Logging Interval
29	25 avr. 2023 10:50:11	0 per Logging Interval
30	25 avr. 2023 10:53:11	0 per Logging Interval
31	25 avr. 2023 10:56:11	0 per Logging Interval
32	25 avr. 2023 10:59:11	0 per Logging Interval
33	25 avr. 2023 11:02:11	0 per Logging Interval
34	25 avr. 2023 11:05:11	0 per Logging Interval
35	25 avr. 2023 11:08:11	0 per Logging Interval
36	25 avr. 2023 11:11:11	0 per Logging Interval
37	25 avr. 2023 11:14:11	0 per Logging Interval
38	25 avr. 2023 11:17:11	0 per Logging Interval
39	25 avr. 2023 11:20:11	0 per Logging Interval
40	25 avr. 2023 11:23:11	0 per Logging Interval
41	25 avr. 2023 11:26:11	0 per Logging Interval
42	25 avr. 2023 11:29:11	0 per Logging Interval
43	25 avr. 2023 11:32:11	0 per Logging Interval
44	25 avr. 2023 11:35:11	0 per Logging Interval
45	25 avr. 2023 11:38:11	0 per Logging Interval
46	25 avr. 2023 11:41:11	0 per Logging Interval
47	25 avr. 2023 11:44:11	0 per Logging Interval
48	25 avr. 2023 11:47:11	0 per Logging Interval
49	25 avr. 2023 11:50:11	0 per Logging Interval
50	25 avr. 2023 11:53:11	0 per Logging Interval
51	25 avr. 2023 11:56:11	0 per Logging Interval
52	25 avr. 2023 11:59:11	0 per Logging Interval
53	25 avr. 2023 12:02:11	0 per Logging Interval
54	25 avr. 2023 12:05:11	0 per Logging Interval
55	25 avr. 2023 12:08:11	0 per Logging Interval
56	25 avr. 2023 12:11:11	0 per Logging Interval
57	25 avr. 2023 12:14:11	0 per Logging Interval
58	25 avr. 2023 12:17:11	0 per Logging Interval
59	25 avr. 2023 12:20:11	0 per Logging Interval
60	25 avr. 2023 12:23:11	0 per Logging Interval
61	25 avr. 2023 12:26:11	0 per Logging Interval
62	25 avr. 2023 12:29:11	0 per Logging Interval
63	25 avr. 2023 12:32:11	0 per Logging Interval
64	25 avr. 2023 12:35:11	0 per Logging Interval
65	25 avr. 2023 12:38:11	0 per Logging Interval
66	25 avr. 2023 12:41:11	0 per Logging Interval
67	25 avr. 2023 12:44:11	0 per Logging Interval
68	25 avr. 2023 12:47:11	0 per Logging Interval
69	25 avr. 2023 12:50:11	0 per Logging Interval
70	25 avr. 2023 12:53:11	0 per Logging Interval
71	25 avr. 2023 12:56:11	0 per Logging Interval
72	25 avr. 2023 12:59:11	0 per Logging Interval
73	25 avr. 2023 13:02:11	0 per Logging Interval
74	25 avr. 2023 13:05:11	0 per Logging Interval
75	25 avr. 2023 13:08:11	0 per Logging Interval
76	25 avr. 2023 13:11:11	0 per Logging Interval
77	25 avr. 2023 13:14:11	0 per Logging Interval
78	25 avr. 2023 13:17:11	0 per Logging Interval
79	25 avr. 2023 13:20:11	0 per Logging Interval
80	25 avr. 2023 13:23:11	0 per Logging Interval
81	25 avr. 2023 13:26:11	0 per Logging Interval
82	25 avr. 2023 13:29:11	0 per Logging Interval
83	25 avr. 2023 13:32:11	0 per Logging Interval
84	25 avr. 2023 13:35:11	0 per Logging Interval
85	25 avr. 2023 13:38:11	0 per Logging Interval
86	25 avr. 2023 13:41:11	0 per Logging Interval
87	25 avr. 2023 13:44:11	0 per Logging Interval
88	25 avr. 2023 13:47:11	0 per Logging Interval
