	Horaire	1
S/N		967756
Type		TGC-0011
Description		ELYS
Propriété		Counts
1	24 mai 2023 14:33:03	32.0
2	24 mai 2023 14:36:03	0.0
3	24 mai 2023 14:39:03	6.0
4	24 mai 2023 14:42:03	8.0
5	24 mai 2023 14:45:03	4.0
6	24 mai 2023 14:48:03	16.0
7	24 mai 2023 14:51:03	13.0
8	24 mai 2023 14:54:03	21.0
9	24 mai 2023 14:57:03	14.0
10	24 mai 2023 15:00:03	39.0
11	24 mai 2023 15:03:03	22.0
12	24 mai 2023 15:06:03	21.0
13	24 mai 2023 15:09:03	43.0
14	24 mai 2023 15:12:03	38.0
15	24 mai 2023 15:15:03	25.0
16	24 mai 2023 15:18:03	19.0
17	24 mai 2023 15:21:03	25.0
18	24 mai 2023 15:24:03	7.0
19	24 mai 2023 15:27:03	22.0
20	24 mai 2023 15:30:03	28.0
21	24 mai 2023 15:33:03	28.0
22	24 mai 2023 15:36:03	16.0
23	24 mai 2023 15:39:03	13.0
24	24 mai 2023 15:42:03	0.0
25	24 mai 2023 15:45:03	26.0
26	24 mai 2023 15:48:03	20.0
27	24 mai 2023 15:51:03	19.0
28	24 mai 2023 15:54:03	34.0
29	24 mai 2023 15:57:03	17.0
30	24 mai 2023 16:00:03	6.0
31	24 mai 2023 16:03:03	6.0
32	24 mai 2023 16:06:03	28.0
33	24 mai 2023 16:09:03	21.0
34	24 mai 2023 16:12:03	0.0
35	24 mai 2023 16:15:03	8.0
36	24 mai 2023 16:18:03	41.0
37	24 mai 2023 16:21:03	36.0
38	24 mai 2023 16:24:03	40.0
39	24 mai 2023 16:27:03	1.0
40	24 mai 2023 16:30:03	18.0
41	24 mai 2023 16:33:03	36.0
42	24 mai 2023 16:36:03	24.0
43	24 mai 2023 16:39:03	36.0
44	24 mai 2023 16:42:03	48.0
45	24 mai 2023 16:45:03	43.0
46	24 mai 2023 16:48:03	27.0
47	24 mai 2023 16:51:03	40.0
48	24 mai 2023 16:54:03	25.0
49	24 mai 2023 16:57:03	40.0
50	24 mai 2023 17:00:03	33.0
51	24 mai 2023 17:03:03	53.0
52	24 mai 2023 17:06:03	32.0
53	24 mai 2023 17:09:03	20.0
54	24 mai 2023 17:12:03	33.0
55	24 mai 2023 17:15:03	45.0
56	24 mai 2023 17:18:03	55.0
57	24 mai 2023 17:21:03	40.0
58	24 mai 2023 17:24:03	29.0
59	24 mai 2023 17:27:03	38.0
60	24 mai 2023 17:30:03	52.0
61	24 mai 2023 17:33:03	5.0
62	24 mai 2023 17:36:03	0.0
63	24 mai 2023 17:39:03	0.0
64	24 mai 2023 17:42:03	0.0
65	24 mai 2023 17:45:03	1.0
66	24 mai 2023 17:48:03	0.0
67	24 mai 2023 17:51:03	8.0
68	24 mai 2023 17:54:03	5.0
69	24 mai 2023 17:57:03	27.0
70	24 mai 2023 18:00:03	45.0
71	24 mai 2023 18:03:03	3.0
72	24 mai 2023 18:06:03	11.0
73	24 mai 2023 18:09:03	25.0
74	24 mai 2023 18:12:03	42.0
75	24 mai 2023 18:15:03	26.0
76	24 mai 2023 18:18:03	40.0
77	24 mai 2023 18:21:03	7.0
78	24 mai 2023 18:24:03	0.0
79	24 mai 2023 18:27:03	22.0
80	24 mai 2023 18:30:03	30.0
81	24 mai 2023 18:33:03	12.0
82	24 mai 2023 18:36:03	18.0
83	24 mai 2023 18:39:03	34.0
84	24 mai 2023 18:42:03	48.0
85	24 mai 2023 18:45:03	19.0
86	24 mai 2023 18:48:03	12.0
87	24 mai 2023 18:51:03	21.0
88	24 mai 2023 18:54:03	19.0
89	24 mai 2023 18:57:03	37.0
90	24 mai 2023 19:00:03	34.0
91	24 mai 2023 19:03:03	37.0
92	24 mai 2023 19:06:03	46.0
93	24 mai 2023 19:09:03	49.0
94	24 mai 2023 19:12:03	37.0
95	24 mai 2023 19:15:03	41.0
96	24 mai 2023 19:18:03	64.0
97	24 mai 2023 19:21:03	26.0
98	24 mai 2023 19:24:03	23.0
99	24 mai 2023 19:27:03	9.0
100	24 mai 2023 19:30:03	26.0
101	24 mai 2023 19:33:03	34.0
102	24 mai 2023 19:36:03	37.0
103	24 mai 2023 19:39:03	59.0
104	24 mai 2023 19:42:03	49.0
105	24 mai 2023 19:45:03	29.0
106	24 mai 2023 19:48:03	23.0
107	24 mai 2023 19:51:03	2.0
108	24 mai 2023 19:54:03	8.0
109	24 mai 2023 19:57:03	44.0
110	24 mai 2023 20:00:03	60.0
111	24 mai 2023 20:03:03	35.0
112	24 mai 2023 20:06:03	31.0
113	24 mai 2023 20:09:03	19.0
114	24 mai 2023 20:12:03	26.0
115	24 mai 2023 20:15:03	53.0
116	24 mai 2023 20:18:03	42.0
117	24 mai 2023 20:21:03	30.0
118	24 mai 2023 20:24:03	28.0
119	24 mai 2023 20:27:03	35.0
120	24 mai 2023 20:30:03	20.0
121	24 mai 2023 20:33:03	30.0
122	24 mai 2023 20:36:03	16.0
123	24 mai 2023 20:39:03	32.0
124	24 mai 2023 20:42:03	12.0
125	24 mai 2023 20:45:03	22.0
126	24 mai 2023 20:48:03	13.0
127	24 mai 2023 20:51:03	15.0
128	24 mai 2023 20:54:03	27.0
129	24 mai 2023 20:57:03	3.0
130	24 mai 2023 21:00:03	18.0
131	24 mai 2023 21:03:03	19.0
132	24 mai 2023 21:06:03	14.0
133	24 mai 2023 21:09:03	52.0
134	24 mai 2023 21:12:03	4.0
135	24 mai 2023 21:15:03	1.0
136	24 mai 2023 21:18:03	30.0
137	24 mai 2023 21:21:03	2.0
138	24 mai 2023 21:24:03	20.0
139	24 mai 2023 21:27:03	28.0
140	24 mai 2023 21:30:03	16.0
141	24 mai 2023 21:33:03	11.0
142	24 mai 2023 21:36:03	25.0
143	24 mai 2023 21:39:03	16.0
144	24 mai 2023 21:42:03	48.0
145	24 mai 2023 21:45:03	21.0
146	24 mai 2023 21:48:03	8.0
147	24 mai 2023 21:51:03	21.0
148	24 mai 2023 21:54:03	5.0
149	24 mai 2023 21:57:03	20.0
150	24 mai 2023 22:00:03	17.0
151	24 mai 2023 22:03:03	32.0
152	24 mai 2023 22:06:03	44.0
153	24 mai 2023 22:09:03	13.0
154	24 mai 2023 22:12:03	6.0
155	24 mai 2023 22:15:03	10.0
156	24 mai 2023 22:18:03	16.0
157	24 mai 2023 22:21:03	5.0
158	24 mai 2023 22:24:03	25.0
159	24 mai 2023 22:27:03	20.0
160	24 mai 2023 22:30:03	31.0
161	24 mai 2023 22:33:03	22.0
162	24 mai 2023 22:36:03	25.0
163	24 mai 2023 22:39:03	8.0
164	24 mai 2023 22:42:03	11.0
165	24 mai 2023 22:45:03	46.0
166	24 mai 2023 22:48:03	62.0
167	24 mai 2023 22:51:03	29.0
168	24 mai 2023 22:54:03	70.0
169	24 mai 2023 22:57:03	26.0
170	24 mai 2023 23:00:03	38.0
171	24 mai 2023 23:03:03	35.0
172	24 mai 2023 23:06:03	18.0
173	24 mai 2023 23:09:03	6.0
174	24 mai 2023 23:12:03	8.0
175	24 mai 2023 23:15:03	21.0
176	24 mai 2023 23:18:03	11.0
177	24 mai 2023 23:21:03	47.0
178	24 mai 2023 23:24:03	32.0
179	24 mai 2023 23:27:03	52.0
180	24 mai 2023 23:30:03	17.0
181	24 mai 2023 23:33:03	9.0
182	24 mai 2023 23:36:03	16.0
183	24 mai 2023 23:39:03	27.0
184	24 mai 2023 23:42:03	36.0
185	24 mai 2023 23:45:03	35.0
186	24 mai 2023 23:48:03	15.0
187	24 mai 2023 23:51:03	0.0
188	24 mai 2023 23:54:03	14.0
189	24 mai 2023 23:57:03	35.0
190	25 mai 2023 00:00:03	41.0
191	25 mai 2023 00:03:03	17.0
192	25 mai 2023 00:06:03	12.0
193	25 mai 2023 00:09:03	25.0
194	25 mai 2023 00:12:03	87.0
195	25 mai 2023 00:15:03	32.0
196	25 mai 2023 00:18:03	7.0
197	25 mai 2023 00:21:03	10.0
198	25 mai 2023 00:24:03	53.0
199	25 mai 2023 00:27:03	9.0
200	25 mai 2023 00:30:03	14.0
201	25 mai 2023 00:33:03	36.0
202	25 mai 2023 00:36:03	29.0
203	25 mai 2023 00:39:03	16.0
204	25 mai 2023 00:42:03	45.0
205	25 mai 2023 00:45:03	19.0
206	25 mai 2023 00:48:03	35.0
207	25 mai 2023 00:51:03	33.0
208	25 mai 2023 00:54:03	19.0
209	25 mai 2023 00:57:03	13.0
210	25 mai 2023 01:00:03	20.0
211	25 mai 2023 01:03:03	18.0
212	25 mai 2023 01:06:03	10.0
213	25 mai 2023 01:09:03	20.0
214	25 mai 2023 01:12:03	6.0
215	25 mai 2023 01:15:03	38.0
216	25 mai 2023 01:18:03	7.0
217	25 mai 2023 01:21:03	17.0
218	25 mai 2023 01:24:03	0.0
219	25 mai 2023 01:27:03	0.0
220	25 mai 2023 01:30:03	5.0
221	25 mai 2023 01:33:03	13.0
222	25 mai 2023 01:36:03	16.0
223	25 mai 2023 01:39:03	8.0
224	25 mai 2023 01:42:03	4.0
225	25 mai 2023 01:45:03	3.0
226	25 mai 2023 01:48:03	0.0
227	25 mai 2023 01:51:03	0.0
228	25 mai 2023 01:54:03	0.0
229	25 mai 2023 01:57:03	0.0
230	25 mai 2023 02:00:03	4.0
231	25 mai 2023 02:03:03	6.0
232	25 mai 2023 02:06:03	5.0
233	25 mai 2023 02:09:03	0.0
234	25 mai 2023 02:12:03	0.0
235	25 mai 2023 02:15:03	0.0
236	25 mai 2023 02:18:03	20.0
237	25 mai 2023 02:21:03	0.0
238	25 mai 2023 02:24:03	14.0
239	25 mai 2023 02:27:03	0.0
240	25 mai 2023 02:30:03	0.0
241	25 mai 2023 02:33:03	4.0
242	25 mai 2023 02:36:03	7.0
243	25 mai 2023 02:39:03	0.0
244	25 mai 2023 02:42:03	4.0
245	25 mai 2023 02:45:03	0.0
246	25 mai 2023 02:48:03	5.0
247	25 mai 2023 02:51:03	0.0
248	25 mai 2023 02:54:03	0.0
249	25 mai 2023 02:57:03	0.0
250	25 mai 2023 03:00:03	0.0
251	25 mai 2023 03:03:03	0.0
252	25 mai 2023 03:06:03	0.0
253	25 mai 2023 03:09:03	0.0
254	25 mai 2023 03:12:03	0.0
255	25 mai 2023 03:15:03	0.0
256	25 mai 2023 03:18:03	0.0
257	25 mai 2023 03:21:03	0.0
258	25 mai 2023 03:24:03	0.0
259	25 mai 2023 03:27:03	0.0
260	25 mai 2023 03:30:03	0.0
261	25 mai 2023 03:33:03	0.0
262	25 mai 2023 03:36:03	0.0
263	25 mai 2023 03:39:03	0.0
264	25 mai 2023 03:42:03	0.0
265	25 mai 2023 03:45:03	0.0
266	25 mai 2023 03:48:03	0.0
267	25 mai 2023 03:51:03	0.0
268	25 mai 2023 03:54:03	0.0
269	25 mai 2023 03:57:03	0.0
270	25 mai 2023 04:00:03	0.0
271	25 mai 2023 04:03:03	0.0
272	25 mai 2023 04:06:03	0.0
273	25 mai 2023 04:09:03	0.0
274	25 mai 2023 04:12:03	0.0
275	25 mai 2023 04:15:03	0.0
276	25 mai 2023 04:18:03	0.0
277	25 mai 2023 04:21:03	0.0
278	25 mai 2023 04:24:03	0.0
279	25 mai 2023 04:27:03	0.0
280	25 mai 2023 04:30:03	0.0
281	25 mai 2023 04:33:03	0.0
282	25 mai 2023 04:36:03	0.0
283	25 mai 2023 04:39:03	0.0
284	25 mai 2023 04:42:03	0.0
285	25 mai 2023 04:45:03	0.0
286	25 mai 2023 04:48:03	0.0
287	25 mai 2023 04:51:03	0.0
288	25 mai 2023 04:54:03	0.0
289	25 mai 2023 04:57:03	0.0
290	25 mai 2023 05:00:03	0.0
291	25 mai 2023 05:03:03	0.0
292	25 mai 2023 05:06:03	0.0
293	25 mai 2023 05:09:03	0.0
294	25 mai 2023 05:12:03	0.0
295	25 mai 2023 05:15:03	0.0
296	25 mai 2023 05:18:03	0.0
297	25 mai 2023 05:21:03	0.0
298	25 mai 2023 05:24:03	0.0
299	25 mai 2023 05:27:03	0.0
300	25 mai 2023 05:30:03	0.0
301	25 mai 2023 05:33:03	0.0
302	25 mai 2023 05:36:03	0.0
303	25 mai 2023 05:39:03	0.0
304	25 mai 2023 05:42:03	0.0
305	25 mai 2023 05:45:03	0.0
306	25 mai 2023 05:48:03	0.0
307	25 mai 2023 05:51:03	0.0
308	25 mai 2023 05:54:03	0.0
309	25 mai 2023 05:57:03	0.0
310	25 mai 2023 06:00:03	0.0
311	25 mai 2023 06:03:03	0.0
312	25 mai 2023 06:06:03	0.0
313	25 mai 2023 06:09:03	0.0
314	25 mai 2023 06:12:03	0.0
315	25 mai 2023 06:15:03	0.0
316	25 mai 2023 06:18:03	0.0
317	25 mai 2023 06:21:03	0.0
318	25 mai 2023 06:24:03	0.0
319	25 mai 2023 06:27:03	0.0
320	25 mai 2023 06:30:03	0.0
321	25 mai 2023 06:33:03	0.0
322	25 mai 2023 06:36:03	0.0
323	25 mai 2023 06:39:03	0.0
324	25 mai 2023 06:42:03	0.0
325	25 mai 2023 06:45:03	0.0
326	25 mai 2023 06:48:03	0.0
327	25 mai 2023 06:51:03	0.0
328	25 mai 2023 06:54:03	0.0
329	25 mai 2023 06:57:03	0.0
330	25 mai 2023 07:00:03	0.0
331	25 mai 2023 07:03:03	0.0
332	25 mai 2023 07:06:03	0.0
333	25 mai 2023 07:09:03	0.0
334	25 mai 2023 07:12:03	0.0
335	25 mai 2023 07:15:03	0.0
336	25 mai 2023 07:18:03	0.0
337	25 mai 2023 07:21:03	0.0
338	25 mai 2023 07:24:03	0.0
339	25 mai 2023 07:27:03	0.0
340	25 mai 2023 07:30:03	0.0
341	25 mai 2023 07:33:03	0.0
342	25 mai 2023 07:36:03	0.0
343	25 mai 2023 07:39:03	0.0
