	Horaire	1
S/N		965365
Type		TGC-0011
Description		VCLB
Propriété		Counts
1	23 juin 2025 08:19:00	0.0
2	23 juin 2025 08:22:00	0.0
3	23 juin 2025 08:25:00	0.0
4	23 juin 2025 08:28:00	0.0
5	23 juin 2025 08:31:00	0.0
6	23 juin 2025 08:34:00	0.0
7	23 juin 2025 08:37:00	0.0
8	23 juin 2025 08:40:00	0.0
9	23 juin 2025 08:43:00	0.0
10	23 juin 2025 08:46:00	0.0
11	23 juin 2025 08:49:00	0.0
12	23 juin 2025 08:52:00	0.0
13	23 juin 2025 08:55:00	0.0
14	23 juin 2025 08:58:00	0.0
15	23 juin 2025 09:01:00	0.0
16	23 juin 2025 09:04:00	0.0
17	23 juin 2025 09:07:00	0.0
18	23 juin 2025 09:10:00	0.0
19	23 juin 2025 09:13:00	0.0
20	23 juin 2025 09:16:00	0.0
21	23 juin 2025 09:19:00	0.0
22	23 juin 2025 09:22:00	0.0
23	23 juin 2025 09:25:00	0.0
24	23 juin 2025 09:28:00	0.0
25	23 juin 2025 09:31:00	0.0
26	23 juin 2025 09:34:00	0.0
27	23 juin 2025 09:37:00	0.0
28	23 juin 2025 09:40:00	0.0
29	23 juin 2025 09:43:00	0.0
30	23 juin 2025 09:46:00	0.0
31	23 juin 2025 09:49:00	0.0
32	23 juin 2025 09:52:00	0.0
33	23 juin 2025 09:55:00	0.0
34	23 juin 2025 09:58:00	0.0
35	23 juin 2025 10:01:00	0.0
36	23 juin 2025 10:04:00	0.0
37	23 juin 2025 10:07:00	0.0
38	23 juin 2025 10:10:00	0.0
39	23 juin 2025 10:13:00	0.0
40	23 juin 2025 10:16:00	0.0
41	23 juin 2025 10:19:00	0.0
42	23 juin 2025 10:22:00	0.0
43	23 juin 2025 10:25:00	0.0
44	23 juin 2025 10:28:00	0.0
45	23 juin 2025 10:31:00	0.0
46	23 juin 2025 10:34:00	0.0
47	23 juin 2025 10:37:00	0.0
48	23 juin 2025 10:40:00	0.0
49	23 juin 2025 10:43:00	0.0
50	23 juin 2025 10:46:00	0.0
51	23 juin 2025 10:49:00	0.0
52	23 juin 2025 10:52:00	0.0
53	23 juin 2025 10:55:00	0.0
54	23 juin 2025 10:58:00	0.0
55	23 juin 2025 11:01:00	0.0
56	23 juin 2025 11:04:00	0.0
57	23 juin 2025 11:07:00	0.0
58	23 juin 2025 11:10:00	0.0
59	23 juin 2025 11:13:00	0.0
60	23 juin 2025 11:16:00	0.0
61	23 juin 2025 11:19:00	0.0
62	23 juin 2025 11:22:00	0.0
63	23 juin 2025 11:25:00	0.0
64	23 juin 2025 11:28:00	0.0
65	23 juin 2025 11:31:00	0.0
66	23 juin 2025 11:34:00	0.0
67	23 juin 2025 11:37:00	0.0
68	23 juin 2025 11:40:00	0.0
69	23 juin 2025 11:43:00	0.0
70	23 juin 2025 11:46:00	0.0
71	23 juin 2025 11:49:00	0.0
72	23 juin 2025 11:52:00	0.0
73	23 juin 2025 11:55:00	0.0
74	23 juin 2025 11:58:00	0.0
75	23 juin 2025 12:01:00	0.0
76	23 juin 2025 12:04:00	0.0
77	23 juin 2025 12:07:00	0.0
78	23 juin 2025 12:10:00	0.0
79	23 juin 2025 12:13:00	0.0
80	23 juin 2025 12:16:00	0.0
81	23 juin 2025 12:19:00	0.0
82	23 juin 2025 12:22:00	0.0
83	23 juin 2025 12:25:00	0.0
84	23 juin 2025 12:28:00	0.0
85	23 juin 2025 12:31:00	0.0
86	23 juin 2025 12:34:00	0.0
87	23 juin 2025 12:37:00	0.0
88	23 juin 2025 12:40:00	0.0
89	23 juin 2025 12:43:00	0.0
90	23 juin 2025 12:46:00	0.0
91	23 juin 2025 12:49:00	0.0
92	23 juin 2025 12:52:00	0.0
