MeteoSwiss_Station,Station,File,Status,Time_step_min,First_file_timestamp,Last_file_timestamp,First_common,Last_common,N_station_rows,N_station_grid_rows,N_overlap_pairs_no_lag,best_lag_steps,best_lag_minutes,best_correlation,best_abs_correlation,n_valid_pairs_at_best_lag
LSN,BETH,BETH_20230207.txt,ok,3.0,2022-11-30 00:03:26,2023-02-05 22:39:26,2022-11-30 00:03:26,2023-02-05 22:39:26,32613,32613,32613,0.0,0.0,0.38144799434251175,0.38144799434251175,32613
PUY,BETH,BETH_20230207.txt,ok,3.0,2022-11-30 00:03:26,2023-02-05 22:39:26,2022-11-30 00:03:26,2023-02-05 22:39:26,32613,32613,32613,-1.0,-3.0,0.3779253645658026,0.3779253645658026,32612
VIT,BETH,BETH_20230207.txt,ok,3.0,2022-11-30 00:03:26,2023-02-05 22:39:26,2022-11-30 00:03:26,2023-02-05 22:39:26,32613,32613,32613,-1.0,-3.0,0.28274548156104634,0.28274548156104634,32612
LSN,BETH,BETH_20230329.txt,ok,3.0,2023-02-07 14:48:16,2023-03-29 13:51:16,2023-02-07 14:48:16,2023-03-29 13:51:16,23982,23982,23982,-80.0,-240.0,-0.002862648550660344,0.002862648550660344,23902
PUY,BETH,BETH_20230329.txt,ok,3.0,2023-02-07 14:48:16,2023-03-29 13:51:16,2023-02-07 14:48:16,2023-03-29 13:51:16,23982,23982,23982,80.0,240.0,-0.0029463007796538226,0.0029463007796538226,23902
VIT,BETH,BETH_20230329.txt,ok,3.0,2023-02-07 14:48:16,2023-03-29 13:51:16,2023-02-07 14:48:16,2023-03-29 13:51:16,23982,23982,23982,-80.0,-240.0,-0.003381701353506548,0.003381701353506548,23902
LSN,BETH,BETH_20230719.txt,ok,3.0,2023-05-25 13:33:58,2023-07-19 12:21:58,2023-05-25 13:33:58,2023-07-19 12:21:58,26377,26377,26377,0.0,0.0,0.7723736637550435,0.7723736637550435,26377
PUY,BETH,BETH_20230719.txt,ok,3.0,2023-05-25 13:33:58,2023-07-19 12:21:58,2023-05-25 13:33:58,2023-07-19 12:21:58,26377,26377,26377,0.0,0.0,0.5756434832112006,0.5756434832112006,26377
VIT,BETH,BETH_20230719.txt,ok,3.0,2023-05-25 13:33:58,2023-07-19 12:21:58,2023-05-25 13:33:58,2023-07-19 12:21:58,26377,26377,26377,-2.0,-6.0,0.3259824419187874,0.3259824419187874,26375
LSN,BETH,BETH_20230904.txt,ok,3.0,2023-07-19 12:33:04,2023-09-04 06:57:04,2023-07-19 12:33:04,2023-09-04 06:57:04,22449,22449,22449,-2.0,-6.0,0.28827139329827145,0.28827139329827145,22447
