Date,Daily status,Daily reason,Daily valid points,Daily station rain mm,Daily MeteoSwiss rain mm,Daily correlation,Daily bias
2022-11-30,PASS,dry day totals close: diff 0.000 <= 0.2,479,0.0,0.0,,
2022-12-01,PASS,dry day totals close: diff 0.000 <= 0.2,480,0.0,0.0,,
2022-12-02,PASS,dry day totals close: diff 0.000 <= 0.2,480,0.0,0.0,,
2022-12-03,PASS,dry day totals close: diff 0.000 <= 0.2,480,0.0,0.0,,
2022-12-04,FAIL,corr 0.150 < 0.4; bias -0.997 outside +/-0.3 and total diff 2.890 > 0.5,480,0.01,2.9,0.1502,-0.9966
2022-12-05,PASS,dry day totals close: diff 0.000 <= 0.2,480,0.0,0.0,,
2022-12-06,PASS,dry day totals close: diff 0.000 <= 0.2,480,0.0,0.0,,
2022-12-07,PASS,dry day totals close: diff 0.000 <= 0.2,480,0.0,0.0,,
2022-12-08,FAIL,corr 0.175 < 0.4; bias -0.960 outside +/-0.3 and total diff 2.374 > 0.5,480,0.1,2.4743,0.1754,-0.9596
2022-12-09,FAIL,corr -0.366 < 0.4; bias -0.745 outside +/-0.3 and total diff 13.190 > 0.5,480,4.51,17.7,-0.3664,-0.7452
2022-12-10,FAIL,corr 0.010 < 0.4; bias -0.974 outside +/-0.3 and total diff 2.946 > 0.5,480,0.08,3.0257,0.0103,-0.9736
2022-12-11,PASS,dry day totals close: diff 0.020 <= 0.2,480,0.02,0.0,,
2022-12-12,PASS,dry day totals close: diff 0.010 <= 0.2,480,0.01,0.0,,
2022-12-13,FAIL,corr N/A < 0.4; bias -1.000 outside +/-0.3 and total diff 1.500 > 0.5,480,0.0,1.5,,-1.0
2022-12-14,FAIL,corr 0.259 < 0.4; bias -0.503 outside +/-0.3 and total diff 1.760 > 0.5,480,1.74,3.5,0.2594,-0.5029
2022-12-15,FAIL,corr 0.340 < 0.4; bias -0.796 outside +/-0.3 and total diff 10.820 > 0.5,480,2.78,13.6,0.3395,-0.7956
2022-12-16,FAIL,corr -0.037 < 0.4; bias -0.889 outside +/-0.3 and total diff 7.470 > 0.5,480,0.93,8.4,-0.0373,-0.8893
2022-12-17,PASS,dry day totals close: diff 0.010 <= 0.2,480,0.01,0.0,,
2022-12-18,PASS,dry day totals close: diff 0.000 <= 0.2,480,0.0,0.0,,
2022-12-19,PASS,dry day totals close: diff 0.000 <= 0.2,480,0.0,0.0,,
2022-12-20,PASS,dry day totals close: diff 0.000 <= 0.2,480,0.0,0.0,,
2022-12-21,FAIL,corr 0.111 < 0.4; bias -0.946 outside +/-0.3 and total diff 2.953 > 0.5,480,0.17,3.123,0.111,-0.9456
2022-12-22,FAIL,corr 0.388 < 0.4; bias -0.914 outside +/-0.3 and total diff 9.641 > 0.5,480,0.91,10.5513,0.3876,-0.9138
2022-12-23,FAIL,bias -0.744 outside +/-0.3 and total diff 16.006 > 0.5,480,5.52,21.5257,0.4228,-0.7436
2022-12-24,FAIL,bias -0.457 outside +/-0.3 and total diff 2.100 > 0.5,480,2.5,4.6,0.4628,-0.4565
2022-12-25,PASS,dry day totals close: diff 0.010 <= 0.2,480,0.01,0.0,,
2022-12-26,FAIL,corr 0.125 < 0.4; bias -0.901 outside +/-0.3 and total diff 8.920 > 0.5,480,0.98,9.9,0.1251,-0.901
2022-12-27,PASS,dry day totals close: diff 0.020 <= 0.2,480,0.02,0.0,,
2022-12-28,PASS,dry day totals close: diff 0.000 <= 0.2,480,0.0,0.0,,
2022-12-29,FAIL,bias -0.672 outside +/-0.3 and total diff 15.073 > 0.5,480,7.35,22.423,0.5743,-0.6722
2022-12-30,FAIL,bias -0.429 outside +/-0.3 and total diff 5.657 > 0.5,480,7.52,13.177,0.4669,-0.4293
2022-12-31,PASS,dry day totals close: diff 0.110 <= 0.2,480,0.31,0.2,,
2023-01-01,PASS,dry day totals close: diff 0.000 <= 0.2,480,0.0,0.0,,
2023-01-02,FAIL,corr -0.019 < 0.4; bias -0.997 outside +/-0.3 and total diff 3.290 > 0.5,480,0.01,3.3,-0.0189,-0.997
2023-01-03,FAIL,corr N/A < 0.4; bias -1.000 outside +/-0.3 and total diff 2.600 > 0.5,480,0.0,2.6,,-1.0
2023-01-04,FAIL,corr N/A < 0.4; bias -1.000 outside +/-0.3 and total diff 1.049 > 0.5,480,0.0,1.0487,,-1.0
2023-01-05,FAIL,corr -0.019 < 0.4; bias -0.998 outside +/-0.3 and total diff 6.141 > 0.5,480,0.01,6.1513,-0.0194,-0.9984
2023-01-06,PASS,dry day totals close: diff 0.100 <= 0.2,480,0.0,0.1,,
2023-01-07,PASS,dry day totals close: diff 0.000 <= 0.2,480,0.0,0.0,,
2023-01-08,FAIL,corr -0.031 < 0.4; bias -1.000 outside +/-0.3 and total diff 20.590 > 0.5,480,0.01,20.6,-0.0315,-0.9995
2023-01-09,PASS,OK,480,7.43,9.3,0.8419,-0.2011
2023-01-10,PASS,OK,480,1.05,0.7,0.8103,0.5
2023-01-11,FAIL,corr 0.310 < 0.4; bias -0.995 outside +/-0.3 and total diff 3.880 > 0.5,480,0.02,3.9,0.3104,-0.9949
2023-01-12,PASS,dry day totals close: diff 0.000 <= 0.2,480,0.0,0.0,,
2023-01-13,FAIL,corr 0.106 < 0.4; bias -0.975 outside +/-0.3 and total diff 0.780 > 0.5,480,0.02,0.8,0.1055,-0.975
