Date,Daily status,Daily reason,Daily valid points,Daily station rain mm,Daily MeteoSwiss rain mm,Daily correlation,Daily bias
2022-12-08,FAIL,bias -0.896 outside +/-0.3 and total diff 2.247 > 0.5,479,0.26,2.507,0.4331,-0.8963
2022-12-09,FAIL,corr -0.732 < 0.4,480,15.76,17.6953,-0.7317,-0.1094
2022-12-10,FAIL,bias 1.412 outside +/-0.3 and total diff 4.232 > 0.5,480,7.23,2.9977,0.415,1.4119
2022-12-11,PASS,dry day totals close: diff 0.000 <= 0.2,480,0.0,0.0,,
2022-12-12,PASS,dry day totals close: diff 0.010 <= 0.2,480,0.01,0.0,,
2022-12-13,FAIL,corr N/A < 0.4; bias -1.000 outside +/-0.3 and total diff 1.500 > 0.5,480,0.0,1.5,,-1.0
2022-12-14,PASS,OK,480,2.48,3.5,0.6867,-0.2914
2022-12-15,PASS,OK,480,13.74,13.607,0.867,0.0098
2022-12-16,PASS,OK,480,9.66,8.393,0.9083,0.151
2022-12-17,PASS,dry day totals close: diff 0.010 <= 0.2,480,0.01,0.0,,
2022-12-18,PASS,dry day totals close: diff 0.000 <= 0.2,480,0.0,0.0,,
2022-12-19,PASS,dry day totals close: diff 0.000 <= 0.2,480,0.0,0.0,,
2022-12-20,PASS,dry day totals close: diff 0.000 <= 0.2,480,0.0,0.0,,
2022-12-21,FAIL,corr 0.282 < 0.4; bias -0.617 outside +/-0.3 and total diff 1.979 > 0.5,480,1.23,3.2093,0.2817,-0.6167
2022-12-22,FAIL,corr 0.050 < 0.4; bias -0.962 outside +/-0.3 and total diff 10.093 > 0.5,480,0.4,10.493,0.0504,-0.9619
2022-12-23,FAIL,corr 0.288 < 0.4; bias -0.685 outside +/-0.3 and total diff 14.720 > 0.5,480,6.78,21.5,0.2878,-0.6847
2022-12-24,FAIL,corr 0.369 < 0.4; bias -0.759 outside +/-0.3 and total diff 3.488 > 0.5,480,1.11,4.5977,0.3694,-0.7586
2022-12-25,PASS,dry day totals close: diff 0.010 <= 0.2,480,0.01,0.0,,
2022-12-26,FAIL,bias -0.417 outside +/-0.3 and total diff 4.130 > 0.5,480,5.77,9.9,0.7714,-0.4172
2022-12-27,PASS,dry day totals close: diff 0.040 <= 0.2,480,0.04,0.0,,
