Date,Daily status,Daily reason,Daily valid points,Daily station rain mm,Daily MeteoSwiss rain mm,Daily correlation,Daily bias
2023-12-18,PASS,dry day totals close: diff 0.000 <= 0.2,278,0.0,0.0,,
2023-12-19,PASS,dry day totals close: diff 0.000 <= 0.2,480,0.0,0.0,,
2023-12-20,FAIL,corr 0.209 < 0.4; bias -0.976 outside +/-0.3 and total diff 4.000 > 0.5,480,0.1,4.1,0.2091,-0.9756
2023-12-21,PASS,dry day totals close: diff 0.190 <= 0.2,480,0.01,0.2,,
2023-12-22,FAIL,corr 0.123 < 0.4; bias -0.984 outside +/-0.3 and total diff 1.870 > 0.5,480,0.03,1.9,0.1231,-0.9842
2023-12-23,PASS,dry day totals close: diff 0.000 <= 0.2,480,0.0,0.0,,
2023-12-24,PASS,dry day totals close: diff 0.000 <= 0.2,480,0.0,0.0,,
2023-12-25,PASS,dry day totals close: diff 0.000 <= 0.2,480,0.0,0.0,,
2023-12-26,PASS,dry day totals close: diff 0.000 <= 0.2,480,0.0,0.0,,
2023-12-27,PASS,dry day totals close: diff 0.000 <= 0.2,480,0.0,0.0,,
2023-12-28,PASS,dry day totals close: diff 0.000 <= 0.2,480,0.0,0.0,,
2023-12-29,FAIL,corr N/A < 0.4; bias -1.000 outside +/-0.3 and total diff 3.400 > 0.5,480,0.0,3.4,,-1.0
2023-12-30,PASS,dry day totals close: diff 0.000 <= 0.2,480,0.0,0.0,,
2023-12-31,FAIL,corr 0.081 < 0.4; bias -0.983 outside +/-0.3 and total diff 15.230 > 0.5,480,0.27,15.5,0.081,-0.9826
2024-01-01,PASS,dry day totals close: diff 0.100 <= 0.2,480,0.0,0.1,,
2024-01-02,FAIL,corr 0.026 < 0.4; bias -0.997 outside +/-0.3 and total diff 17.850 > 0.5,480,0.05,17.9,0.0257,-0.9972
2024-01-03,FAIL,bias -0.933 outside +/-0.3 and total diff 5.320 > 0.5,480,0.38,5.7,0.6785,-0.9333
2024-01-04,FAIL,corr 0.114 < 0.4; bias -0.987 outside +/-0.3 and total diff 0.790 > 0.5,480,0.01,0.8,0.1137,-0.9875
2024-01-05,FAIL,corr N/A < 0.4; bias -1.000 outside +/-0.3 and total diff 7.330 > 0.5,480,0.0,7.33,,-1.0
2024-01-06,FAIL,corr N/A < 0.4; bias -1.000 outside +/-0.3 and total diff 1.070 > 0.5,480,0.0,1.07,,-1.0
2024-01-07,FAIL,corr 0.062 < 0.4; bias -0.991 outside +/-0.3 and total diff 2.180 > 0.5,480,0.02,2.2,0.0617,-0.9909
2024-01-08,FAIL,corr N/A < 0.4; bias -1.000 outside +/-0.3 and total diff 0.700 > 0.5,480,0.0,0.7,,-1.0
2024-01-09,FAIL,corr -0.021 < 0.4; bias -0.997 outside +/-0.3 and total diff 3.790 > 0.5,480,0.01,3.8,-0.0215,-0.9974
2024-01-10,FAIL,dry day totals differ: diff 0.290 > 0.2,480,0.29,0.0,,
2024-01-11,PASS,dry day totals close: diff 0.010 <= 0.2,480,0.01,0.0,,
2024-01-12,PASS,dry day totals close: diff 0.000 <= 0.2,480,0.0,0.0,,
2024-01-13,PASS,dry day totals close: diff 0.000 <= 0.2,480,0.0,0.0,,
2024-01-14,PASS,dry day totals close: diff 0.100 <= 0.2,480,0.0,0.1,,
2024-01-15,PASS,dry day totals close: diff 0.000 <= 0.2,480,0.0,0.0,,
2024-01-16,FAIL,dry day totals differ: diff 0.400 > 0.2,480,0.0,0.4,,
2024-01-17,FAIL,corr N/A < 0.4; bias -1.000 outside +/-0.3 and total diff 34.460 > 0.5,480,0.0,34.46,,-1.0
2024-01-18,FAIL,corr -0.028 < 0.4; bias -0.999 outside +/-0.3 and total diff 25.810 > 0.5,480,0.03,25.84,-0.0278,-0.9988
2024-01-19,PASS,dry day totals close: diff 0.100 <= 0.2,480,0.0,0.1,,
2024-01-20,PASS,dry day totals close: diff 0.010 <= 0.2,480,0.01,0.0,,
2024-01-21,PASS,dry day totals close: diff 0.000 <= 0.2,480,0.0,0.0,,
2024-01-22,FAIL,corr 0.124 < 0.4; bias -0.999 outside +/-0.3 and total diff 14.220 > 0.5,480,0.01,14.23,0.1239,-0.9993
2024-01-23,FAIL,corr N/A < 0.4; bias -1.000 outside +/-0.3 and total diff 0.970 > 0.5,480,0.0,0.97,,-1.0
2024-01-24,PASS,dry day totals close: diff 0.000 <= 0.2,480,0.0,0.0,,
2024-01-25,PASS,dry day totals close: diff 0.100 <= 0.2,480,0.0,0.1,,
2024-01-26,FAIL,dry day totals differ: diff 0.300 > 0.2,480,0.0,0.3,,
2024-01-27,PASS,dry day totals close: diff 0.000 <= 0.2,480,0.0,0.0,,
2024-01-28,PASS,dry day totals close: diff 0.000 <= 0.2,480,0.0,0.0,,
2024-01-29,PASS,dry day totals close: diff 0.000 <= 0.2,480,0.0,0.0,,
2024-01-30,PASS,dry day totals close: diff 0.000 <= 0.2,480,0.0,0.0,,
2024-01-31,PASS,dry day totals close: diff 0.000 <= 0.2,480,0.0,0.0,,
2024-02-01,FAIL,dry day totals differ: diff 0.400 > 0.2,480,0.0,0.4,,
2024-02-02,PASS,dry day totals close: diff 0.000 <= 0.2,480,0.0,0.0,,
2024-02-03,PASS,dry day totals close: diff 0.000 <= 0.2,480,0.0,0.0,,
2024-02-04,PASS,dry day totals close: diff 0.000 <= 0.2,480,0.0,0.0,,
2024-02-05,PASS,dry day totals close: diff 0.000 <= 0.2,480,0.0,0.0,,
2024-02-06,PASS,dry day totals close: diff 0.000 <= 0.2,480,0.0,0.0,,
2024-02-07,FAIL,corr N/A < 0.4; bias -1.000 outside +/-0.3 and total diff 5.000 > 0.5,480,0.0,5.0,,-1.0
2024-02-08,FAIL,corr N/A < 0.4; bias -1.000 outside +/-0.3 and total diff 3.500 > 0.5,480,0.0,3.5,,-1.0
2024-02-09,FAIL,corr N/A < 0.4; bias -1.000 outside +/-0.3 and total diff 2.500 > 0.5,480,0.0,2.5,,-1.0
2024-02-10,FAIL,corr 0.131 < 0.4; bias -0.964 outside +/-0.3 and total diff 2.410 > 0.5,480,0.09,2.5,0.1307,-0.964
2024-02-11,FAIL,corr N/A < 0.4; bias -1.000 outside +/-0.3 and total diff 2.000 > 0.5,480,0.0,2.0,,-1.0
2024-02-12,PASS,dry day totals close: diff 0.000 <= 0.2,480,0.0,0.0,,
2024-02-13,PASS,dry day totals close: diff 0.000 <= 0.2,480,0.0,0.0,,
2024-02-14,PASS,dry day totals close: diff 0.000 <= 0.2,480,0.0,0.0,,
2024-02-15,PASS,dry day totals close: diff 0.000 <= 0.2,480,0.0,0.0,,
2024-02-16,PASS,dry day totals close: diff 0.000 <= 0.2,480,0.0,0.0,,
2024-02-17,PASS,dry day totals close: diff 0.000 <= 0.2,480,0.0,0.0,,
2024-02-18,FAIL,corr N/A < 0.4; bias -1.000 outside +/-0.3 and total diff 3.500 > 0.5,480,0.0,3.5,,-1.0
2024-02-19,FAIL,corr N/A < 0.4; bias -1.000 outside +/-0.3 and total diff 2.100 > 0.5,480,0.0,2.1,,-1.0
2024-02-20,FAIL,dry day totals differ: diff 0.400 > 0.2,480,0.0,0.4,,
2024-02-21,PASS,dry day totals close: diff 0.000 <= 0.2,480,0.0,0.0,,
2024-02-22,FAIL,bias -0.977 outside +/-0.3 and total diff 22.760 > 0.5,480,0.54,23.3,0.5464,-0.9768
2024-02-23,FAIL,dry day totals differ: diff 0.300 > 0.2,480,0.0,0.3,,
2024-02-24,PASS,dry day totals close: diff 0.200 <= 0.2,480,0.0,0.2,,
2024-02-25,FAIL,corr N/A < 0.4; bias -1.000 outside +/-0.3 and total diff 0.860 > 0.5,480,0.0,0.86,,-1.0
2024-02-26,FAIL,corr N/A < 0.4; bias -1.000 outside +/-0.3 and total diff 7.440 > 0.5,480,0.0,7.44,,-1.0
2024-02-27,PASS,dry day totals close: diff 0.000 <= 0.2,480,0.0,0.0,,
2024-02-28,PASS,dry day totals close: diff 0.000 <= 0.2,480,0.0,0.0,,
2024-02-29,PASS,dry day totals close: diff 0.000 <= 0.2,480,0.0,0.0,,
2024-03-01,FAIL,corr 0.299 < 0.4,480,0.02,0.5,0.2992,-0.96
2024-03-02,PASS,dry day totals close: diff 0.000 <= 0.2,480,0.0,0.0,,
2024-03-03,PASS,dry day totals close: diff 0.000 <= 0.2,480,0.0,0.0,,
2024-03-04,PASS,dry day totals close: diff 0.000 <= 0.2,480,0.0,0.0,,
2024-03-05,PASS,dry day totals close: diff 0.100 <= 0.2,480,0.0,0.1,,
2024-03-06,PASS,dry day totals close: diff 0.100 <= 0.2,480,0.0,0.1,,
2024-03-07,PASS,dry day totals close: diff 0.000 <= 0.2,480,0.0,0.0,,
2024-03-08,PASS,dry day totals close: diff 0.000 <= 0.2,480,0.0,0.0,,
2024-03-09,PASS,dry day totals close: diff 0.000 <= 0.2,480,0.0,0.0,,
2024-03-10,FAIL,corr N/A < 0.4; bias -1.000 outside +/-0.3 and total diff 3.000 > 0.5,480,0.0,3.0,,-1.0
2024-03-11,PASS,dry day totals close: diff 0.000 <= 0.2,480,0.0,0.0,,
2024-03-12,FAIL,corr N/A < 0.4; bias -1.000 outside +/-0.3 and total diff 2.800 > 0.5,480,0.0,2.8,,-1.0
2024-03-13,PASS,dry day totals close: diff 0.000 <= 0.2,480,0.0,0.0,,
2024-03-14,PASS,dry day totals close: diff 0.000 <= 0.2,480,0.0,0.0,,
2024-03-15,FAIL,corr N/A < 0.4; bias -1.000 outside +/-0.3 and total diff 2.800 > 0.5,480,0.0,2.8,,-1.0
2024-03-16,FAIL,corr N/A < 0.4; bias -1.000 outside +/-0.3 and total diff 10.300 > 0.5,480,0.0,10.3,,-1.0
2024-03-17,FAIL,dry day totals differ: diff 0.270 > 0.2,480,0.03,0.3,,
2024-03-18,FAIL,corr N/A < 0.4; bias -1.000 outside +/-0.3 and total diff 16.200 > 0.5,480,0.0,16.2,,-1.0
2024-03-19,PASS,dry day totals close: diff 0.000 <= 0.2,480,0.0,0.0,,
2024-03-20,PASS,dry day totals close: diff 0.000 <= 0.2,480,0.0,0.0,,
2024-03-21,FAIL,corr N/A < 0.4; bias -1.000 outside +/-0.3 and total diff 0.600 > 0.5,480,0.0,0.6,,-1.0
2024-03-22,PASS,dry day totals close: diff 0.000 <= 0.2,480,0.0,0.0,,
2024-03-23,FAIL,corr N/A < 0.4; bias -1.000 outside +/-0.3 and total diff 1.300 > 0.5,480,0.0,1.3,,-1.0
2024-03-24,FAIL,corr N/A < 0.4; bias -1.000 outside +/-0.3 and total diff 1.600 > 0.5,480,0.0,1.6,,-1.0
2024-03-25,PASS,dry day totals close: diff 0.000 <= 0.2,480,0.0,0.0,,
2024-03-26,PASS,dry day totals close: diff 0.000 <= 0.2,480,0.0,0.0,,
2024-03-27,FAIL,corr 0.169 < 0.4; bias -0.996 outside +/-0.3 and total diff 11.650 > 0.5,480,0.05,11.7,0.1687,-0.9957
2024-03-28,FAIL,corr N/A < 0.4; bias -1.000 outside +/-0.3 and total diff 4.500 > 0.5,480,0.0,4.5,,-1.0
2024-03-29,PASS,dry day totals close: diff 0.000 <= 0.2,480,0.0,0.0,,
2024-03-30,PASS,dry day totals close: diff 0.000 <= 0.2,480,0.0,0.0,,
2024-03-31,FAIL,corr N/A < 0.4; bias -1.000 outside +/-0.3 and total diff 0.990 > 0.5,480,0.0,0.99,,-1.0
2024-04-01,FAIL,corr -0.010 < 0.4; bias -0.996 outside +/-0.3 and total diff 13.460 > 0.5,480,0.05,13.51,-0.0102,-0.9963
2024-04-02,PASS,dry day totals close: diff 0.100 <= 0.2,480,0.0,0.1,,
2024-04-03,FAIL,corr 0.179 < 0.4; bias -0.976 outside +/-0.3 and total diff 5.230 > 0.5,480,0.13,5.36,0.1791,-0.9757
2024-04-04,FAIL,dry day totals differ: diff 0.440 > 0.2,480,0.0,0.44,,
2024-04-05,PASS,dry day totals close: diff 0.000 <= 0.2,480,0.0,0.0,,
2024-04-06,PASS,dry day totals close: diff 0.000 <= 0.2,480,0.0,0.0,,
2024-04-07,PASS,dry day totals close: diff 0.000 <= 0.2,480,0.0,0.0,,
2024-04-08,PASS,dry day totals close: diff 0.000 <= 0.2,480,0.0,0.0,,
2024-04-09,FAIL,corr 0.054 < 0.4; bias -0.994 outside +/-0.3 and total diff 8.550 > 0.5,480,0.05,8.6,0.0539,-0.9942
2024-04-10,PASS,dry day totals close: diff 0.000 <= 0.2,480,0.0,0.0,,
2024-04-11,PASS,dry day totals close: diff 0.000 <= 0.2,480,0.0,0.0,,
2024-04-12,PASS,dry day totals close: diff 0.000 <= 0.2,480,0.0,0.0,,
2024-04-13,PASS,dry day totals close: diff 0.000 <= 0.2,480,0.0,0.0,,
2024-04-14,PASS,dry day totals close: diff 0.000 <= 0.2,480,0.0,0.0,,
2024-04-15,PASS,dry day totals close: diff 0.120 <= 0.2,480,0.18,0.3,,
2024-04-16,FAIL,corr 0.236 < 0.4; bias -0.974 outside +/-0.3 and total diff 8.460 > 0.5,480,0.23,8.69,0.2363,-0.9735
2024-04-17,FAIL,corr -0.017 < 0.4; bias -0.988 outside +/-0.3 and total diff 5.050 > 0.5,480,0.06,5.11,-0.0175,-0.9883
2024-04-18,FAIL,corr 0.111 < 0.4; bias -0.976 outside +/-0.3 and total diff 2.830 > 0.5,480,0.07,2.9,0.1109,-0.9759
2024-04-19,FAIL,bias -0.400 outside +/-0.3 and total diff 1.520 > 0.5,480,2.28,3.8,0.8429,-0.4
2024-04-20,FAIL,corr -0.011 < 0.4; bias -0.688 outside +/-0.3 and total diff 0.550 > 0.5,480,0.25,0.8,-0.0111,-0.6875
2024-04-21,FAIL,corr -0.007 < 0.4; bias -0.993 outside +/-0.3 and total diff 1.490 > 0.5,480,0.01,1.5,-0.007,-0.9933
