Date,Daily status,Daily reason,Daily valid points,Daily station rain mm,Daily MeteoSwiss rain mm,Daily correlation,Daily bias
2025-04-08,PASS,dry day totals close: diff 0.000 <= 0.2,299,0.0,0.0,,
2025-04-09,PASS,dry day totals close: diff 0.000 <= 0.2,480,0.0,0.0,,
2025-04-10,PASS,dry day totals close: diff 0.000 <= 0.2,480,0.0,0.0,,
2025-04-11,PASS,dry day totals close: diff 0.000 <= 0.2,480,0.0,0.0,,
2025-04-12,PASS,dry day totals close: diff 0.000 <= 0.2,480,0.0,0.0,,
2025-04-13,PASS,OK,480,10.74,10.7,0.8651,0.0037
2025-04-14,PASS,OK,480,1.41,1.0,0.498,0.41
2025-04-15,PASS,OK,480,12.89,12.9,0.92,-0.0008
2025-04-16,PASS,OK,480,20.45,19.9743,0.878,0.0238
2025-04-17,PASS,OK,480,9.39,9.8257,0.9227,-0.0443
2025-04-18,PASS,dry day totals close: diff 0.000 <= 0.2,480,0.0,0.0,,
2025-04-19,PASS,dry day totals close: diff 0.000 <= 0.2,480,0.0,0.0,,
2025-04-20,PASS,OK,480,4.33,4.7,0.7429,-0.0787
2025-04-21,PASS,OK,480,0.54,0.3,0.5446,0.8
2025-04-22,PASS,dry day totals close: diff 0.000 <= 0.2,480,0.0,0.0,,
2025-04-23,PASS,OK,480,1.31,1.3,0.8177,0.0077
2025-04-24,PASS,dry day totals close: diff 0.190 <= 0.2,480,0.39,0.2,,
2025-04-25,PASS,dry day totals close: diff 0.000 <= 0.2,480,0.0,0.0,,
2025-04-26,PASS,dry day totals close: diff 0.000 <= 0.2,480,0.0,0.0,,
2025-04-27,FAIL,corr 0.306 < 0.4,480,0.55,1.0,0.306,-0.45
2025-04-28,PASS,dry day totals close: diff 0.000 <= 0.2,480,0.0,0.0,,
2025-04-29,PASS,dry day totals close: diff 0.000 <= 0.2,480,0.0,0.0,,
2025-04-30,PASS,dry day totals close: diff 0.000 <= 0.2,480,0.0,0.0,,
2025-05-01,PASS,dry day totals close: diff 0.000 <= 0.2,480,0.0,0.0,,
2025-05-02,PASS,dry day totals close: diff 0.000 <= 0.2,480,0.0,0.0,,
2025-05-03,PASS,OK,480,5.03,6.1,0.534,-0.1754
2025-05-04,PASS,OK,480,27.6,27.6487,0.7596,-0.0018
2025-05-05,PASS,OK,480,8.07,8.5513,0.8036,-0.0563
2025-05-06,PASS,dry day totals close: diff 0.000 <= 0.2,480,0.0,0.0,,
2025-05-07,PASS,OK,480,3.32,3.7,0.6749,-0.1027
2025-05-08,PASS,dry day totals close: diff 0.000 <= 0.2,480,0.0,0.0,,
2025-05-09,PASS,dry day totals close: diff 0.000 <= 0.2,480,0.0,0.0,,
2025-05-10,PASS,dry day totals close: diff 0.000 <= 0.2,480,0.0,0.0,,
2025-05-11,PASS,OK,480,9.26,12.5,0.8218,-0.2592
2025-05-12,PASS,OK,480,2.79,3.5,0.5743,-0.2029
2025-05-13,PASS,dry day totals close: diff 0.000 <= 0.2,480,0.0,0.0,,
2025-05-14,PASS,dry day totals close: diff 0.000 <= 0.2,480,0.0,0.0,,
2025-05-15,PASS,dry day totals close: diff 0.000 <= 0.2,480,0.0,0.0,,
2025-05-16,PASS,dry day totals close: diff 0.000 <= 0.2,480,0.0,0.0,,
2025-05-17,PASS,dry day totals close: diff 0.000 <= 0.2,480,0.0,0.0,,
2025-05-18,PASS,dry day totals close: diff 0.000 <= 0.2,480,0.0,0.0,,
2025-05-19,PASS,OK,480,5.01,6.4663,0.7244,-0.2252
2025-05-20,PASS,OK,480,4.95,4.8337,0.7546,0.0241
2025-05-21,FAIL,bias -0.354 outside +/-0.3 and total diff 6.354 > 0.5,480,11.62,17.9743,0.5844,-0.3535
2025-05-22,PASS,OK,480,19.89,21.0257,0.8227,-0.054
2025-05-23,PASS,dry day totals close: diff 0.150 <= 0.2,480,0.05,0.2,,
2025-05-24,PASS,dry day totals close: diff 0.000 <= 0.2,480,0.0,0.0,,
2025-05-25,PASS,dry day totals close: diff 0.010 <= 0.2,480,0.01,0.0,,
2025-05-26,PASS,OK,480,1.33,1.0,0.6762,0.33
2025-05-27,PASS,dry day totals close: diff 0.000 <= 0.2,480,0.0,0.0,,
2025-05-28,PASS,OK,480,3.01,3.9,0.8279,-0.2282
2025-05-29,PASS,dry day totals close: diff 0.000 <= 0.2,480,0.0,0.0,,
2025-05-30,PASS,dry day totals close: diff 0.000 <= 0.2,480,0.0,0.0,,
2025-05-31,PASS,dry day totals close: diff 0.000 <= 0.2,480,0.0,0.0,,
2025-06-01,FAIL,bias 0.325 outside +/-0.3 and total diff 1.300 > 0.5,480,5.3,4.0,0.6648,0.325
2025-06-02,PASS,OK,480,13.55,17.7,0.8056,-0.2345
2025-06-03,PASS,dry day totals close: diff 0.010 <= 0.2,480,0.01,0.0,,
2025-06-04,PASS,OK,480,10.42,13.7,0.8565,-0.2394
2025-06-05,PASS,OK,480,0.52,0.2,0.6395,1.6
2025-06-06,PASS,OK,480,1.1,1.2,0.599,-0.0833
2025-06-07,FAIL,bias -0.439 outside +/-0.3 and total diff 3.860 > 0.5,480,4.94,8.8,0.7909,-0.4386
2025-06-08,PASS,dry day totals close: diff 0.000 <= 0.2,480,0.0,0.0,,
2025-06-09,PASS,dry day totals close: diff 0.000 <= 0.2,480,0.0,0.0,,
2025-06-10,PASS,dry day totals close: diff 0.000 <= 0.2,480,0.0,0.0,,
2025-06-11,PASS,dry day totals close: diff 0.000 <= 0.2,480,0.0,0.0,,
2025-06-12,PASS,dry day totals close: diff 0.000 <= 0.2,157,0.0,0.0,,
