Date,Daily status,Daily reason,Daily valid points,Daily station rain mm,Daily MeteoSwiss rain mm,Daily correlation,Daily bias
2023-10-17,PASS,dry day totals close: diff 0.050 <= 0.2,289,0.05,0.0,,
2023-10-18,PASS,OK,480,0.38,0.8,0.5164,-0.525
2023-10-19,PASS,OK,480,6.15,8.7,0.6697,-0.2931
2023-10-20,FAIL,bias -0.420 outside +/-0.3 and total diff 9.110 > 0.5,480,12.59,21.7,0.9665,-0.4198
2023-10-21,FAIL,bias -0.679 outside +/-0.3 and total diff 4.140 > 0.5,480,1.96,6.1,0.8818,-0.6787
2023-10-22,PASS,dry day totals close: diff 0.010 <= 0.2,480,0.01,0.0,,
2023-10-23,FAIL,bias -0.622 outside +/-0.3 and total diff 0.560 > 0.5,480,0.34,0.9,0.5887,-0.6222
2023-10-24,FAIL,bias -0.359 outside +/-0.3 and total diff 15.710 > 0.5,480,28.09,43.8,0.889,-0.3587
2023-10-25,FAIL,bias -0.601 outside +/-0.3 and total diff 14.132 > 0.5,480,9.37,23.502,0.8244,-0.6013
2023-10-26,FAIL,bias -0.395 outside +/-0.3 and total diff 11.782 > 0.5,480,18.02,29.802,0.8833,-0.3953
2023-10-27,FAIL,bias -0.553 outside +/-0.3 and total diff 17.686 > 0.5,480,14.31,31.996,0.8308,-0.5528
2023-10-28,PASS,dry day totals close: diff 0.030 <= 0.2,480,0.03,0.0,,
2023-10-29,PASS,dry day totals close: diff 0.040 <= 0.2,480,0.04,0.0,,
2023-10-30,FAIL,bias -0.380 outside +/-0.3 and total diff 8.180 > 0.5,480,13.32,21.5,0.9467,-0.3805
2023-10-31,FAIL,bias -0.733 outside +/-0.3 and total diff 3.300 > 0.5,480,1.2,4.5,0.6243,-0.7333
2023-11-01,FAIL,bias -0.617 outside +/-0.3 and total diff 0.740 > 0.5,480,0.46,1.2,0.5921,-0.6167
2023-11-02,FAIL,bias -0.523 outside +/-0.3 and total diff 16.792 > 0.5,480,15.31,32.102,0.803,-0.5231
2023-11-03,FAIL,bias -0.674 outside +/-0.3 and total diff 8.358 > 0.5,480,4.04,12.398,0.5716,-0.6741
2023-11-04,FAIL,bias -0.537 outside +/-0.3 and total diff 14.170 > 0.5,480,12.23,26.4,0.9151,-0.5367
2023-11-05,PASS,OK,480,6.37,8.4,0.5669,-0.2417
2023-11-06,FAIL,dry day totals differ: diff 0.260 > 0.2,480,0.04,0.3,,
2023-11-07,PASS,dry day totals close: diff 0.100 <= 0.2,480,0.1,0.2,,
2023-11-08,PASS,dry day totals close: diff 0.030 <= 0.2,480,0.03,0.0,,
2023-11-09,FAIL,bias -0.646 outside +/-0.3 and total diff 3.820 > 0.5,480,2.09,5.91,0.7315,-0.6464
2023-11-10,FAIL,bias -0.577 outside +/-0.3 and total diff 5.834 > 0.5,480,4.27,10.104,0.862,-0.5774
2023-11-11,FAIL,bias -0.792 outside +/-0.3 and total diff 5.536 > 0.5,480,1.45,6.986,0.5656,-0.7924
2023-11-12,FAIL,bias -0.631 outside +/-0.3 and total diff 7.190 > 0.5,480,4.21,11.4,0.6395,-0.6307
2023-11-13,FAIL,bias -0.461 outside +/-0.3 and total diff 6.092 > 0.5,480,7.11,13.202,0.8762,-0.4614
2023-11-14,FAIL,bias -0.344 outside +/-0.3 and total diff 16.888 > 0.5,480,32.21,49.098,0.9207,-0.344
2023-11-15,PASS,dry day totals close: diff 0.000 <= 0.2,480,0.0,0.0,,
2023-11-16,FAIL,corr -0.017 < 0.4; bias 7.167 outside +/-0.3 and total diff 4.300 > 0.5,480,4.9,0.6,-0.0172,7.1667
2023-11-17,FAIL,corr -0.016 < 0.4; bias 2.950 outside +/-0.3 and total diff 0.590 > 0.5,480,0.79,0.2,-0.0157,2.95
2023-11-18,PASS,dry day totals close: diff 0.180 <= 0.2,480,0.02,0.2,,
2023-11-19,FAIL,bias -0.348 outside +/-0.3 and total diff 0.940 > 0.5,480,1.76,2.7,0.6502,-0.3481
2023-11-20,PASS,dry day totals close: diff 0.020 <= 0.2,480,0.02,0.0,,
2023-11-21,FAIL,corr 0.090 < 0.4,480,0.66,0.9,0.0897,-0.2667
2023-11-22,FAIL,corr N/A < 0.4; bias N/A outside +/-0.3 and total diff 130.350 > 0.5,480,130.35,0.0,,
2023-11-23,FAIL,corr N/A < 0.4; bias N/A outside +/-0.3 and total diff 1.310 > 0.5,480,1.31,0.0,,
2023-11-24,PASS,OK,480,0.43,0.9,0.4799,-0.5222
2023-11-25,PASS,dry day totals close: diff 0.100 <= 0.2,480,0.2,0.1,,
2023-11-26,FAIL,dry day totals differ: diff 0.380 > 0.2,480,0.38,0.0,,
2023-11-27,FAIL,corr 0.192 < 0.4,480,9.98,9.102,0.1917,0.0965
2023-11-28,FAIL,bias -0.621 outside +/-0.3 and total diff 3.598 > 0.5,480,2.2,5.798,0.7649,-0.6206
2023-11-29,PASS,dry day totals close: diff 0.030 <= 0.2,480,0.03,0.0,,
2023-11-30,FAIL,bias -0.410 outside +/-0.3 and total diff 18.726 > 0.5,480,26.98,45.706,0.7156,-0.4097
2023-12-01,FAIL,bias -0.380 outside +/-0.3 and total diff 12.614 > 0.5,480,20.58,33.194,0.5025,-0.38
2023-12-02,FAIL,corr 0.394 < 0.4,480,1.91,1.6,0.3936,0.1937
2023-12-03,PASS,dry day totals close: diff 0.040 <= 0.2,480,0.04,0.0,,
2023-12-04,PASS,OK,480,6.12,8.0,0.8209,-0.235
2023-12-05,FAIL,corr 0.074 < 0.4; bias 0.308 outside +/-0.3 and total diff 1.230 > 0.5,480,5.23,4.0,0.0738,0.3075
2023-12-06,PASS,dry day totals close: diff 0.070 <= 0.2,480,0.33,0.4,,
2023-12-07,FAIL,dry day totals differ: diff 0.280 > 0.2,480,0.28,0.0,,
2023-12-08,FAIL,bias -0.482 outside +/-0.3 and total diff 5.450 > 0.5,480,5.85,11.3,0.6953,-0.4823
2023-12-09,FAIL,bias -0.411 outside +/-0.3 and total diff 6.980 > 0.5,480,10.02,17.0,0.4603,-0.4106
2023-12-10,FAIL,bias -0.652 outside +/-0.3 and total diff 1.632 > 0.5,480,0.87,2.502,0.6298,-0.6523
2023-12-11,FAIL,bias -0.344 outside +/-0.3 and total diff 5.030 > 0.5,480,9.58,14.61,0.8259,-0.3443
2023-12-12,FAIL,bias -0.446 outside +/-0.3 and total diff 18.820 > 0.5,480,23.37,42.19,0.7928,-0.4461
2023-12-13,FAIL,bias -0.402 outside +/-0.3 and total diff 9.238 > 0.5,480,13.76,22.998,0.7548,-0.4017
2023-12-14,FAIL,bias -0.542 outside +/-0.3 and total diff 1.300 > 0.5,164,1.1,2.4,0.7597,-0.5417
