Date,Daily status,Daily reason,Daily valid points,Daily station rain mm,Daily MeteoSwiss rain mm,Daily correlation,Daily bias
2023-09-04,PASS,dry day totals close: diff 0.010 <= 0.2,228,0.01,0.0,,
2023-09-05,PASS,dry day totals close: diff 0.150 <= 0.2,480,0.15,0.0,,
2023-09-06,PASS,dry day totals close: diff 0.080 <= 0.2,480,0.08,0.0,,
2023-09-07,PASS,dry day totals close: diff 0.070 <= 0.2,480,0.07,0.0,,
2023-09-08,PASS,dry day totals close: diff 0.110 <= 0.2,480,0.11,0.0,,
2023-09-09,PASS,dry day totals close: diff 0.100 <= 0.2,480,0.1,0.0,,
2023-09-10,PASS,dry day totals close: diff 0.080 <= 0.2,480,0.08,0.0,,
2023-09-11,PASS,dry day totals close: diff 0.110 <= 0.2,480,0.11,0.0,,
2023-09-12,PASS,dry day totals close: diff 0.140 <= 0.2,480,0.14,0.0,,
2023-09-13,FAIL,bias -0.602 outside +/-0.3 and total diff 22.510 > 0.5,480,14.89,37.4,0.766,-0.6019
2023-09-14,PASS,dry day totals close: diff 0.120 <= 0.2,480,0.12,0.0,,
2023-09-15,PASS,dry day totals close: diff 0.140 <= 0.2,480,0.14,0.0,,
2023-09-16,FAIL,dry day totals differ: diff 0.220 > 0.2,480,0.22,0.0,,
2023-09-17,FAIL,dry day totals differ: diff 0.210 > 0.2,480,0.41,0.2,,
2023-09-18,FAIL,bias -0.376 outside +/-0.3 and total diff 18.357 > 0.5,480,30.53,48.8873,0.9085,-0.3755
2023-09-19,PASS,OK,480,2.88,3.1127,0.6267,-0.0747
2023-09-20,FAIL,corr N/A < 0.4; bias N/A outside +/-0.3 and total diff 0.540 > 0.5,480,0.54,0.0,,
2023-09-21,FAIL,bias -0.321 outside +/-0.3 and total diff 5.057 > 0.5,480,10.69,15.7468,0.8008,-0.3211
2023-09-22,FAIL,bias -0.361 outside +/-0.3 and total diff 5.253 > 0.5,480,9.3,14.5532,0.8919,-0.361
2023-09-23,PASS,dry day totals close: diff 0.110 <= 0.2,480,0.31,0.2,,
2023-09-24,PASS,dry day totals close: diff 0.120 <= 0.2,480,0.12,0.0,,
2023-09-25,PASS,dry day totals close: diff 0.100 <= 0.2,480,0.1,0.0,,
2023-09-26,PASS,dry day totals close: diff 0.100 <= 0.2,480,0.1,0.0,,
2023-09-27,PASS,dry day totals close: diff 0.040 <= 0.2,480,0.04,0.0,,
2023-09-28,PASS,dry day totals close: diff 0.080 <= 0.2,480,0.08,0.0,,
2023-09-29,PASS,dry day totals close: diff 0.080 <= 0.2,480,0.08,0.0,,
2023-09-30,PASS,dry day totals close: diff 0.090 <= 0.2,480,0.09,0.0,,
