Date,Daily status,Daily reason,Daily valid points,Daily station rain mm,Daily MeteoSwiss rain mm,Daily correlation,Daily bias
2022-11-08,SKIP,valid points 19 < 40,19,0.0,0.0,,
2022-11-09,PASS,OK,480,18.44,24.8,0.8655,-0.2565
2022-11-10,PASS,dry day totals close: diff 0.010 <= 0.2,480,0.01,0.0,,
2022-11-11,PASS,dry day totals close: diff 0.000 <= 0.2,480,0.0,0.0,,
2022-11-12,PASS,dry day totals close: diff 0.000 <= 0.2,480,0.0,0.0,,
2022-11-13,PASS,dry day totals close: diff 0.000 <= 0.2,480,0.0,0.0,,
2022-11-14,FAIL,corr 0.243 < 0.4; bias -0.780 outside +/-0.3 and total diff 0.780 > 0.5,480,0.22,1.0,0.2432,-0.78
2022-11-15,PASS,OK,480,10.76,14.304,0.9102,-0.2478
2022-11-16,PASS,OK,480,3.34,2.896,0.8857,0.1533
2022-11-17,FAIL,bias -0.336 outside +/-0.3 and total diff 2.420 > 0.5,480,4.78,7.2,0.7674,-0.3361
2022-11-18,PASS,OK,480,0.41,0.8,0.4038,-0.4875
2022-11-19,PASS,dry day totals close: diff 0.000 <= 0.2,480,0.0,0.0,,
2022-11-20,PASS,dry day totals close: diff 0.000 <= 0.2,480,0.0,0.0,,
2022-11-21,PASS,OK,480,9.77,10.9025,0.9453,-0.1039
2022-11-22,PASS,OK,480,7.78,8.4975,0.8025,-0.0844
2022-11-23,PASS,OK,480,4.94,6.3,0.8995,-0.2159
2022-11-24,PASS,dry day totals close: diff 0.060 <= 0.2,480,0.06,0.0,,
2022-11-25,PASS,OK,480,0.41,0.6,0.5062,-0.3167
2022-11-26,PASS,dry day totals close: diff 0.000 <= 0.2,480,0.0,0.0,,
2022-11-27,PASS,dry day totals close: diff 0.000 <= 0.2,480,0.0,0.0,,
2022-11-28,PASS,OK,480,0.82,1.3,0.5107,-0.3692
2022-11-29,PASS,OK,480,0.69,0.6,0.5344,0.15
2022-11-30,PASS,dry day totals close: diff 0.000 <= 0.2,480,0.0,0.0,,
2022-12-01,PASS,dry day totals close: diff 0.000 <= 0.2,480,0.0,0.0,,
2022-12-02,PASS,dry day totals close: diff 0.000 <= 0.2,480,0.0,0.0,,
2022-12-03,PASS,dry day totals close: diff 0.000 <= 0.2,480,0.0,0.0,,
2022-12-04,PASS,OK,480,2.43,2.9,0.957,-0.1621
2022-12-05,PASS,dry day totals close: diff 0.020 <= 0.2,480,0.02,0.0,,
2022-12-06,PASS,dry day totals close: diff 0.000 <= 0.2,480,0.0,0.0,,
2022-12-07,PASS,dry day totals close: diff 0.000 <= 0.2,480,0.0,0.0,,
2022-12-08,FAIL,bias -0.732 outside +/-0.3 and total diff 1.832 > 0.5,480,0.67,2.5015,0.5707,-0.7322
2022-12-09,FAIL,corr -0.658 < 0.4,480,18.42,17.699,-0.6579,0.0407
2022-12-10,PASS,OK,480,2.21,2.9995,0.4936,-0.2632
2022-12-11,PASS,dry day totals close: diff 0.010 <= 0.2,480,0.01,0.0,,
2022-12-12,PASS,dry day totals close: diff 0.000 <= 0.2,480,0.0,0.0,,
2022-12-13,FAIL,corr N/A < 0.4; bias -1.000 outside +/-0.3 and total diff 1.500 > 0.5,480,0.0,1.5,,-1.0
2022-12-14,PASS,OK,480,3.79,3.5,0.7959,0.0829
2022-12-15,PASS,OK,480,11.87,13.6015,0.9345,-0.1273
2022-12-16,PASS,OK,480,7.52,8.3985,0.9464,-0.1046
2022-12-17,PASS,dry day totals close: diff 0.000 <= 0.2,480,0.0,0.0,,
2022-12-18,PASS,dry day totals close: diff 0.000 <= 0.2,480,0.0,0.0,,
2022-12-19,PASS,dry day totals close: diff 0.000 <= 0.2,480,0.0,0.0,,
2022-12-20,PASS,dry day totals close: diff 0.000 <= 0.2,480,0.0,0.0,,
2022-12-21,PASS,OK,480,2.65,3.202,0.7386,-0.1724
2022-12-22,PASS,OK,480,8.27,10.4985,0.7563,-0.2123
2022-12-23,PASS,OK,480,17.68,21.5,0.844,-0.1777
2022-12-24,PASS,OK,480,3.34,4.5995,0.6676,-0.2738
2022-12-25,PASS,dry day totals close: diff 0.000 <= 0.2,480,0.0,0.0,,
2022-12-26,PASS,OK,480,7.42,9.9,0.8624,-0.2505
2022-12-27,PASS,dry day totals close: diff 0.020 <= 0.2,480,0.02,0.0,,
2022-12-28,PASS,dry day totals close: diff 0.000 <= 0.2,480,0.0,0.0,,
2022-12-29,PASS,OK,480,18.5,22.502,0.9356,-0.1779
2022-12-30,PASS,OK,480,11.1,13.098,0.9066,-0.1525
2022-12-31,PASS,dry day totals close: diff 0.170 <= 0.2,480,0.03,0.2,,
2023-01-01,PASS,dry day totals close: diff 0.000 <= 0.2,480,0.0,0.0,,
2023-01-02,PASS,OK,480,2.73,3.3,0.8304,-0.1727
2023-01-03,PASS,OK,480,2.76,2.6,0.627,0.0615
2023-01-04,PASS,OK,480,0.86,1.101,0.8406,-0.2189
2023-01-05,PASS,OK,480,5.15,6.099,0.8969,-0.1556
2023-01-06,PASS,dry day totals close: diff 0.100 <= 0.2,480,0.0,0.1,,
2023-01-07,PASS,dry day totals close: diff 0.000 <= 0.2,480,0.0,0.0,,
2023-01-08,PASS,OK,480,18.75,20.6005,0.8796,-0.0898
2023-01-09,PASS,OK,480,7.57,9.2995,0.7476,-0.186
2023-01-10,PASS,OK,250,0.69,0.7,0.6459,-0.0143
