Event ID,Station,Primary station,Event start,Event end,Duration min,Rain total mm,Network mean rain mm,Network max rain mm,Network sum rain mm,Peak 3min mm,Mean intensity mm/h,Available station count,Available stations,Rainy station count,Rainy stations,Station event totals mm,Typology
657,PONT,PONT,2023-07-24 12:33:54,2023-07-24 14:09:54,99.0,9.43,9.43,9.43,9.43,3.34,5.7152,1,PONT,1,PONT,PONT:9.43,short_intense
719,GEOP,GEOP,2023-08-26 08:51:46,2023-08-26 13:09:54,261.1,29.02,29.02,29.02,29.02,3.06,6.6679,1,GEOP,1,GEOP,GEOP:29.02,high_intensity
994,GEOP,GEOP,2024-01-03 13:48:00,2024-01-04 10:51:00,1266.0,5.96,5.535,5.96,11.07,0.37,0.2825,2,"GEOP, GRVN",2,"GEOP, GRVN",GEOP:5.96; GRVN:5.11,long_moderate
1036,GRVN,GRVN,2024-02-07 17:30:00,2024-02-08 11:24:00,1077.0,8.32,7.73,8.32,15.46,0.15,0.4635,2,"GEOP, GRVN",2,"GEOP, GRVN",GEOP:7.14; GRVN:8.32,long_moderate
1061,GEOP,GEOP,2024-02-25 20:15:00,2024-02-26 09:15:00,783.0,10.22,9.12,10.22,27.36,0.2,0.7831,3,"ELYS, GEOP, GRVN",3,"ELYS, GEOP, GRVN",ELYS:7.02; GEOP:10.22; GRVN:10.12,multi_station
1085,BOIS,BOIS,2024-03-12 03:54:00,2024-03-12 10:24:00,393.0,3.23,2.4125,3.23,9.65,0.15,0.4931,4,"BOIS, ELYS, GEOP, GRVN",4,"BOIS, ELYS, GEOP, GRVN",BOIS:3.23; ELYS:2.09; GEOP:2.09; GRVN:2.24,multi_station
1090,BOIS,BOIS,2024-03-17 20:33:00,2024-03-18 11:45:00,915.0,15.27,14.2967,15.27,42.89,0.33,1.0013,3,"BOIS, ELYS, GRVN",3,"BOIS, ELYS, GRVN",BOIS:15.27; ELYS:12.42; GRVN:15.20,long_high_total
1108,GRVN,GRVN,2024-03-27 04:57:00,2024-03-27 20:51:00,957.0,15.06,13.0533,15.06,39.16,0.31,0.9442,3,"BOIS, GEOP, GRVN",3,"BOIS, GEOP, GRVN",BOIS:14.06; GEOP:10.04; GRVN:15.06,long_high_total
1109,BOIS,BOIS,2024-03-28 03:24:00,2024-03-28 10:30:00,429.0,4.85,4.015,4.85,16.06,0.44,0.6783,4,"BOIS, ELYS, GEOP, GRVN",4,"BOIS, ELYS, GEOP, GRVN",BOIS:4.85; ELYS:3.55; GEOP:3.85; GRVN:3.81,multi_station
1115,GEOP,GEOP,2024-04-01 16:12:00,2024-04-02 09:09:00,1020.0,5.76,5.49,5.76,10.98,0.43,0.3388,2,"GEOP, GRVN",2,"GEOP, GRVN",GEOP:5.76; GRVN:5.22,long_moderate
1129,GRVN,GRVN,2024-04-09 05:45:00,2024-04-09 12:42:00,420.0,9.46,6.98,9.46,20.94,0.32,1.3514,3,"GEOP, GRVN, ROUV",3,"GEOP, GRVN, ROUV",GEOP:6.17; GRVN:9.46; ROUV:5.31,multi_station
1130,GEOP,GEOP,2024-04-09 16:12:00,2024-04-09 23:00:00,411.0,1.79,1.12,1.79,3.36,0.26,0.2613,3,"GEOP, GRVN, ROUV",3,"GEOP, GRVN, ROUV",GEOP:1.79; GRVN:0.84; ROUV:0.73,multi_station
1311,LEXP,LEXP,2024-09-23 12:27:00,2024-09-23 16:09:00,225.0,4.74,4.29,4.74,8.58,0.52,1.264,2,"GRVN, LEXP",2,"GRVN, LEXP",GRVN:3.84; LEXP:4.74,high_intensity
1314,GRVN,GRVN,2024-09-25 18:48:00,2024-09-26 20:27:00,1542.0,62.94,62.94,62.94,62.94,0.81,2.449,1,GRVN,1,GRVN,GRVN:62.94,long_high_total
1846,GEOP,GEOP,2026-02-05 22:45:28,2026-02-07 10:30:11,2147.7,8.1,8.1,8.1,8.1,0.16,0.2263,1,GEOP,1,GEOP,GEOP:8.10,long_moderate
