Station,N_rainy_events,N_available_events,Pct_network_events_rainy,Pct_network_events_available,Median_event_total_mm_when_rainy,Max_event_total_mm_when_rainy
BETH,1,1,0.4,0.4,25.47,25.47
BOIS,19,19,7.0,7.0,4.85,23.3
CHAN,2,2,0.7,0.7,3.83,5.02
ELYS,14,14,5.1,5.1,9.004999999999999,35.9
GEOP,86,86,31.5,31.5,5.045,55.44
GRVN,88,88,32.2,32.2,4.3100000000000005,62.94
LEXP,22,22,8.1,8.1,3.7199999999999998,15.58
PONT,36,36,13.2,13.2,4.79,45.57
RIPR,22,22,8.1,8.1,3.58,33.31
ROUV,11,11,4.0,4.0,9.46,24.56
VCLB,2,2,0.7,0.7,7.615,13.5
