Event ID,Station,Primary station,Event start,Event end,Duration min,Rain total mm,Network mean rain mm,Network max rain mm,Network sum rain mm,Peak 3min mm,Mean intensity mm/h,Available station count,Available stations,Rainy station count,Rainy stations,Station event totals mm,Typology
13,ROUV,ROUV,2022-11-09 02:12:03,2022-11-10 00:39:44,1350.7,18.44,18.44,18.44,18.44,0.3,0.8191,1,ROUV,1,ROUV,ROUV:18.44,long_high_total
19,PONT,PONT,2022-11-14 22:15:44,2022-11-15 11:34:18,801.6,2.97,2.97,2.97,2.97,0.11,0.2223,1,PONT,1,PONT,PONT:2.97,standard
21,ROUV,ROUV,2022-11-15 19:21:03,2022-11-16 08:46:18,808.2,12.76,12.76,12.76,12.76,1.27,0.9472,1,ROUV,1,ROUV,ROUV:12.76,standard
67,ROUV,ROUV,2022-12-14 04:18:03,2022-12-15 09:24:14,1749.2,3.83,3.83,3.83,3.83,0.21,0.1314,1,ROUV,1,ROUV,ROUV:3.83,long_moderate
69,BOIS,BOIS,2022-12-15 14:27:14,2022-12-16 14:36:14,1452.0,23.3,23.3,23.3,23.3,0.42,0.9628,1,BOIS,1,BOIS,BOIS:23.30,long_high_total
84,ROUV,ROUV,2022-12-21 02:30:03,2022-12-21 17:36:39,909.6,1.63,1.63,1.63,1.63,0.11,0.1075,1,ROUV,1,ROUV,ROUV:1.63,long_moderate
86,RIPR,RIPR,2022-12-21 22:48:39,2022-12-22 11:06:39,741.0,4.42,4.42,4.42,4.42,0.2,0.3579,1,RIPR,1,RIPR,RIPR:4.42,standard
87,RIPR,RIPR,2022-12-22 17:45:39,2022-12-24 12:33:39,2571.0,33.31,33.31,33.31,33.31,0.55,0.7774,1,RIPR,1,RIPR,RIPR:33.31,long_high_total
97,ROUV,ROUV,2022-12-26 12:42:03,2022-12-27 06:33:14,1074.2,7.44,7.44,7.44,7.44,0.25,0.4156,1,ROUV,1,ROUV,ROUV:7.44,long_moderate
104,ROUV,ROUV,2022-12-29 08:57:03,2022-12-30 07:51:39,1377.6,24.56,24.56,24.56,24.56,0.29,1.0697,1,ROUV,1,ROUV,ROUV:24.56,long_high_total
105,RIPR,RIPR,2022-12-30 10:54:39,2022-12-31 04:27:31,1055.9,5.3,5.3,5.3,5.3,0.16,0.3012,1,RIPR,1,RIPR,RIPR:5.30,long_moderate
113,PONT,PONT,2023-01-02 15:03:44,2023-01-03 19:18:44,1698.0,6.88,6.88,6.88,6.88,0.12,0.2431,1,PONT,1,PONT,PONT:6.88,long_moderate
118,ROUV,ROUV,2023-01-04 22:36:03,2023-01-05 11:30:39,777.6,6.01,6.01,6.01,6.01,0.17,0.4637,1,ROUV,1,ROUV,ROUV:6.01,standard
129,ROUV,ROUV,2023-01-08 03:30:03,2023-01-09 04:45:39,1518.6,21.89,21.89,21.89,21.89,1.39,0.8649,1,ROUV,1,ROUV,ROUV:21.89,long_high_total
132,RIPR,RIPR,2023-01-11 10:54:22,2023-01-11 18:10:20,439.0,3.13,3.13,3.13,3.13,0.22,0.4278,1,RIPR,1,RIPR,RIPR:3.13,standard
139,RIPR,RIPR,2023-01-15 00:09:22,2023-01-15 15:54:22,948.0,7.68,7.68,7.68,7.68,0.22,0.4861,1,RIPR,1,RIPR,RIPR:7.68,long_moderate
141,PONT,PONT,2023-01-16 09:19:20,2023-01-16 15:31:20,375.0,3.19,3.19,3.19,3.19,0.23,0.5104,1,PONT,1,PONT,PONT:3.19,standard
144,LEXP,LEXP,2023-01-18 05:27:31,2023-01-18 12:57:31,453.0,7.38,7.38,7.38,7.38,0.21,0.9775,1,LEXP,1,LEXP,LEXP:7.38,standard
242,RIPR,RIPR,2023-02-24 21:33:22,2023-02-25 06:10:20,520.0,2.42,2.42,2.42,2.42,0.19,0.2792,1,RIPR,1,RIPR,RIPR:2.42,standard
258,RIPR,RIPR,2023-03-08 07:42:22,2023-03-09 00:36:22,1017.0,8.1,8.1,8.1,8.1,0.27,0.4779,1,RIPR,1,RIPR,RIPR:8.10,long_moderate
263,PONT,PONT,2023-03-09 22:43:20,2023-03-10 11:13:20,753.0,4.8,4.8,4.8,4.8,0.29,0.3825,1,PONT,1,PONT,PONT:4.80,standard
265,RIPR,RIPR,2023-03-10 18:30:22,2023-03-12 09:58:20,2371.0,17.88,17.88,17.88,17.88,0.34,0.4525,1,RIPR,1,RIPR,RIPR:17.88,long_high_total
286,PONT,PONT,2023-03-18 22:37:20,2023-03-19 04:10:20,336.0,3.25,3.25,3.25,3.25,0.44,0.5804,1,PONT,1,PONT,PONT:3.25,standard
294,GEOP,GEOP,2023-03-23 21:36:08,2023-03-24 19:45:08,1332.0,6.51,6.51,6.51,6.51,0.18,0.2932,1,GEOP,1,GEOP,GEOP:6.51,long_moderate
296,GEOP,GEOP,2023-03-24 23:12:08,2023-03-25 04:45:08,336.0,2.42,2.42,2.42,2.42,0.48,0.4321,1,GEOP,1,GEOP,GEOP:2.42,standard
297,GEOP,GEOP,2023-03-25 07:39:08,2023-03-25 11:15:08,219.0,1.29,1.29,1.29,1.29,0.16,0.3534,1,GEOP,1,GEOP,GEOP:1.29,standard
298,LEXP,LEXP,2023-03-26 05:06:44,2023-03-26 15:00:08,596.4,11.55,11.55,11.55,11.55,1.93,1.162,1,LEXP,1,LEXP,LEXP:11.55,standard
299,LEXP,LEXP,2023-03-26 18:21:44,2023-03-27 08:57:44,879.0,2.07,2.07,2.07,2.07,0.12,0.1413,1,LEXP,1,LEXP,LEXP:2.07,standard
314,GEOP,GEOP,2023-03-31 06:10:01,2023-03-31 15:30:09,563.1,5.13,5.13,5.13,5.13,0.73,0.5466,1,GEOP,1,GEOP,GEOP:5.13,standard
319,PONT,PONT,2023-04-02 04:57:09,2023-04-02 16:22:01,687.9,1.79,1.79,1.79,1.79,0.06,0.1561,1,PONT,1,PONT,PONT:1.79,standard
338,RIPR,RIPR,2023-04-07 04:57:27,2023-04-07 10:28:01,333.6,2.82,2.82,2.82,2.82,0.22,0.5072,1,RIPR,1,RIPR,RIPR:2.82,standard
347,RIPR,RIPR,2023-04-11 01:24:27,2023-04-11 08:49:01,447.6,2.73,2.73,2.73,2.73,0.21,0.366,1,RIPR,1,RIPR,RIPR:2.73,standard
351,GEOP,GEOP,2023-04-12 11:19:01,2023-04-12 22:07:01,651.0,13.97,13.97,13.97,13.97,0.83,1.2876,1,GEOP,1,GEOP,GEOP:13.97,high_intensity
358,RIPR,RIPR,2023-04-14 22:30:27,2023-04-15 21:36:27,1389.0,10.69,10.69,10.69,10.69,0.24,0.4618,1,RIPR,1,RIPR,RIPR:10.69,long_moderate
